,x,y,skill_id,Навык,Профессия,size
0,-1.9015582,-1.0125526,192,SQL,Аналитик данных,15.8
1,2.992307,-0.48733655,102,Анализ данных,Аналитик данных,12.500767263427116
2,-7.059627,4.8266582,417,Python,Аналитик данных,12.38567774936062
3,2.3750093,-2.5353866,125,Аналитическое мышление,Аналитик данных,8.626086956521737
4,-7.738176,4.1878214,67,Английский,Аналитик данных,6.132480818414329
5,1.9207754,-0.64606833,325,Power BI,Аналитик данных,5.979028132992326
6,2.7709851,-2.2328215,530,MS Excel,Аналитик данных,4.789769820971871
7,3.1730678,-0.05109836,141,Математическая статистика,Аналитик данных,4.713043478260869
8,-2.0643375,-0.9565579,40,Работа с большим объемом информации,Аналитик данных,4.291048593350382
9,-6.452937,-3.5613413,34,Базы данных,Аналитик данных,3.293606138107423
10,-5.5314364,-3.4655328,56,MS SQL,Аналитик данных,3.1401534526854356
11,-6.1000686,-3.4371636,78,PostgreSQL,Аналитик данных,2.3345268542199564
12,1.9390707,-0.11066767,519,Tableau,Аналитик данных,2.181074168797969
13,0.9357036,-0.42512548,116,BI,Аналитик данных,1.8741687979539776
14,2.215806,-2.3870094,966,MS PowerPoint,Аналитик данных,1.7974424552429755
15,-6.565654,4.3949304,274,Математический анализ,Аналитик данных,1.759079283887483
16,3.4741106,-1.8619812,278,Анализ рынка,Аналитик данных,1.643989769820972
17,-5.481136,-3.360685,1535,Работа с базами данных,Аналитик данных,1.6056265984654794
18,-5.4513583,0.31573728,59,Hadoop,Аналитик данных,1.4138107416879826
19,3.7357502,-0.23277983,61,Аналитические исследования,Аналитик данных,1.37544757033249
20,-7.9384155,6.7439203,68,Machine Learning,Аналитик данных,1.37544757033249
21,-4.681412,0.31795093,368,ETL,Аналитик данных,1.337084398976997
22,4.788628,1.0735217,1,A/B тесты,Аналитик данных,1.298721227621488
23,1.726175,-0.38920763,424,Визуализация данных,Аналитик данных,1.260358056265995
24,2.578041,-6.6905527,32,Моделирование бизнес процессов,Аналитик данных,1.1069053708439913
25,-5.8623123,3.662952,825,Pandas,Аналитик данных,1.0685421994884985
26,2.7587852,-6.578157,20,Бизнес-анализ,Аналитик данных,1.0685421994884985
27,2.459547,-4.720073,75,Деловая коммуникация,Аналитик данных,1.0301790281330057
28,2.6694598,-4.3682303,1900,Работа в команде,Аналитик данных,0.9534526854220038
29,-5.0341144,-0.81335855,800,ClickHouse,Аналитик данных,0.9534526854220038
30,2.8895845,-3.2050264,983,Сбор и анализ информации,Аналитик данных,0.9150895140665107
31,3.6461155,-1.6193123,71,Маркетинговые исследования,Аналитик данных,0.9150895140665107
32,2.7797341,-3.4986496,203,Грамотная речь,Аналитик данных,0.9150895140665107
33,1.9015218,-3.8328404,223,Работа в условиях многозадачности,Аналитик данных,0.8767263427110019
34,2.7604034,-2.1515727,48,Google таблицы,Аналитик данных,0.8
35,-5.3888226,0.7331908,21,Spark,Аналитик данных,0.8
0,-1.9015582,-1.0125526,192,SQL,Инженер данных,15.713544668587895
1,2.992307,-0.48733655,102,Анализ данных,Инженер данных,1.6213256484149887
2,-7.059627,4.8266582,417,Python,Инженер данных,15.8
3,2.3750093,-2.5353866,125,Аналитическое мышление,Инженер данных,0.9729106628242046
4,-7.738176,4.1878214,67,Английский,Инженер данных,5.3821325648415055
5,1.9207754,-0.64606833,325,Power BI,Инженер данных,1.3187319884726307
8,-2.0643375,-0.9565579,40,Работа с большим объемом информации,Инженер данных,4.6904899135446705
9,-6.452937,-3.5613413,34,Базы данных,Инженер данных,6.981556195965414
10,-5.5314364,-3.4655328,56,MS SQL,Инженер данных,3.134293948126812
11,-6.1000686,-3.4371636,78,PostgreSQL,Инженер данных,6.722190201729107
13,0.9357036,-0.42512548,116,BI,Инженер данных,1.1458213256484262
17,-5.481136,-3.360685,1535,Работа с базами данных,Инженер данных,1.7510086455331422
18,-5.4513583,0.31573728,59,Hadoop,Инженер данных,7.586743515850147
20,-7.9384155,6.7439203,68,Machine Learning,Инженер данных,1.8374639769452445
21,-4.681412,0.31795093,368,ETL,Инженер данных,9.44553314121038
29,-5.0341144,-0.81335855,800,ClickHouse,Инженер данных,3.8691642651296814
35,-5.3888226,0.7331908,21,Spark,Инженер данных,6.246685878962545
36,-4.174119,0.25380117,837,DWH,Инженер данных,4.6904899135446705
37,-4.736818,0.763916,393,Airflow,Инженер данных,4.171757925072057
38,-5.9254403,-3.990992,729,Linux,Инженер данных,3.566570605187324
39,-6.314046,0.5481362,303,Docker,Инженер данных,2.874927953890489
40,-5.3096476,-0.4659885,194,Kafka,Инженер данных,2.874927953890489
41,-8.594334,6.3212767,372,Git,Инженер данных,2.356195965417875
42,-5.980641,0.5143446,261,Java,Инженер данных,2.312968299711824
43,-4.499589,0.95519704,1770,SCALA,Инженер данных,2.312968299711824
44,-4.461493,-0.08968138,496,Greenplum,Инженер данных,2.096829971181568
45,-6.4734817,-3.3832765,1078,ORACLE,Инженер данных,2.053602305475517
46,-5.406886,0.5791216,182,Hive,Инженер данных,1.6213256484149887
47,-5.292282,0.8758866,1321,Kubernetes,Инженер данных,1.4916426512968353
48,-4.938723,1.0313246,3,Хранилище данных,Инженер данных,1.405187319884733
49,-6.0794253,0.20929225,1021,CI/CD,Инженер данных,1.3619596541786818
50,-5.8774147,-0.5393175,527,NoSQL,Инженер данных,1.0593659942363238
51,-5.931741,-4.18999,1352,Bash,Инженер данных,0.8432276657060511
52,-7.8381276,7.1273623,159,Data Science,Инженер данных,0.8432276657060511
53,-4.656071,1.0733242,213,NiFi,Инженер данных,0.8
54,-5.221384,-1.7621993,1109,Oracle Pl/SQL,Инженер данных,0.8
0,-1.9015582,-1.0125526,192,SQL,Data Scientist,10.464429530201338
1,2.992307,-0.48733655,102,Анализ данных,Data Scientist,4.273154362416099
2,-7.059627,4.8266582,417,Python,Data Scientist,15.8
3,2.3750093,-2.5353866,125,Аналитическое мышление,Data Scientist,1.907382550335575
4,-7.738176,4.1878214,67,Английский,Data Scientist,6.085234899328857
5,1.9207754,-0.64606833,325,Power BI,Data Scientist,0.951006711409389
7,3.1730678,-0.05109836,141,Математическая статистика,Data Scientist,5.2798657718120765
8,-2.0643375,-0.9565579,40,Работа с большим объемом информации,Data Scientist,3.618791946308721
9,-6.452937,-3.5613413,34,Базы данных,Data Scientist,1.655704697986573
10,-5.5314364,-3.4655328,56,MS SQL,Data Scientist,1.6053691275167816
11,-6.1000686,-3.4371636,78,PostgreSQL,Data Scientist,1.5046979865771841
15,-6.565654,4.3949304,274,Математический анализ,Data Scientist,2.763087248322148
16,3.4741106,-1.8619812,278,Анализ рынка,Data Scientist,0.8503355704697914
18,-5.4513583,0.31573728,59,Hadoop,Data Scientist,2.863758389261746
20,-7.9384155,6.7439203,68,Machine Learning,Data Scientist,12.628859060402679
21,-4.681412,0.31795093,368,ETL,Data Scientist,0.8503355704697914
25,-5.8623123,3.662952,825,Pandas,Data Scientist,3.0147651006711342
27,2.459547,-4.720073,75,Деловая коммуникация,Data Scientist,1.1523489932885846
28,2.6694598,-4.3682303,1900,Работа в команде,Data Scientist,0.8
29,-5.0341144,-0.81335855,800,ClickHouse,Data Scientist,0.8503355704697914
32,2.7797341,-3.4986496,203,Грамотная речь,Data Scientist,0.8503355704697914
35,-5.3888226,0.7331908,21,Spark,Data Scientist,2.5114093959731463
37,-4.736818,0.763916,393,Airflow,Data Scientist,0.951006711409389
38,-5.9254403,-3.990992,729,Linux,Data Scientist,1.907382550335575
39,-6.314046,0.5481362,303,Docker,Data Scientist,1.907382550335575
41,-8.594334,6.3212767,372,Git,Data Scientist,1.806711409395977
52,-7.8381276,7.1273623,159,Data Science,Data Scientist,5.179194630872478
55,-8.449671,8.093156,200,PyTorch,Data Scientist,2.9644295302013433
56,-8.388615,6.9904013,10,Scikit-learn,Data Scientist,2.209395973154353
57,-7.682028,8.571319,327,NLP,Data Scientist,2.1087248322147554
58,-7.700296,6.2545247,289,Numpy,Data Scientist,2.1087248322147554
59,-8.8785,8.49915,323,Computer Vision,Data Scientist,1.4543624161073776
60,-8.9210415,7.826223,1007,Tensorflow,Data Scientist,1.4543624161073776
61,-8.597171,7.8230824,140,Deep Learning,Data Scientist,1.4543624161073776
62,-9.340909,7.4475603,415,Алгоритмы,Data Scientist,0.8503355704697914
63,-8.52319,6.882213,638,Нейронные сети,Data Scientist,0.8
0,-1.9015582,-1.0125526,192,SQL,Продуктовый аналитик,15.8
1,2.992307,-0.48733655,102,Анализ данных,Продуктовый аналитик,11.646153846153853
2,-7.059627,4.8266582,417,Python,Продуктовый аналитик,12.569230769230776
3,2.3750093,-2.5353866,125,Аналитическое мышление,Продуктовый аналитик,10.492307692307701
4,-7.738176,4.1878214,67,Английский,Продуктовый аналитик,4.7230769230769205
5,1.9207754,-0.64606833,325,Power BI,Продуктовый аналитик,5.184615384615388
6,2.7709851,-2.2328215,530,MS Excel,Продуктовый аналитик,1.4923076923076963
7,3.1730678,-0.05109836,141,Математическая статистика,Продуктовый аналитик,6.80000000000001
8,-2.0643375,-0.9565579,40,Работа с большим объемом информации,Продуктовый аналитик,1.7230769230769236
9,-6.452937,-3.5613413,34,Базы данных,Продуктовый аналитик,1.9538461538461505
10,-5.5314364,-3.4655328,56,MS SQL,Продуктовый аналитик,2.4153846153846192
11,-6.1000686,-3.4371636,78,PostgreSQL,Продуктовый аналитик,1.4923076923076963
12,1.9390707,-0.11066767,519,Tableau,Продуктовый аналитик,4.492307692307694
13,0.9357036,-0.42512548,116,BI,Продуктовый аналитик,1.9538461538461505
15,-6.565654,4.3949304,274,Математический анализ,Продуктовый аналитик,1.261538461538469
16,3.4741106,-1.8619812,278,Анализ рынка,Продуктовый аналитик,1.9538461538461505
17,-5.481136,-3.360685,1535,Работа с базами данных,Продуктовый аналитик,1.261538461538469
18,-5.4513583,0.31573728,59,Hadoop,Продуктовый аналитик,1.261538461538469
19,3.7357502,-0.23277983,61,Аналитические исследования,Продуктовый аналитик,3.56923076923077
21,-4.681412,0.31795093,368,ETL,Продуктовый аналитик,1.9538461538461505
22,4.788628,1.0735217,1,A/B тесты,Продуктовый аналитик,7.492307692307691
23,1.726175,-0.38920763,424,Визуализация данных,Продуктовый аналитик,1.0307692307692273
26,2.7587852,-6.578157,20,Бизнес-анализ,Продуктовый аналитик,1.261538461538469
