skill_name,skill_id,salary_q25,salary_q50,salary_q75,frequency,popular_profession_id,popular_profession_name,Data scientist,Аналитик,Инженер данных,ML инженер,Big Data
прикладная лингвистика,0,,,,9.705910899737941e-05,3,ML инженер,4.6805523051720103e-05,0.0,0.0,6.75949709341625e-05,0.0
Customer Support,1,,,,0.0009705910899737941,0,Data scientist,0.0003276386613620407,9.297136481963555e-05,0.00016498927569707968,0.0002027849128024875,0.0
Терпеливость,2,,,,0.0008735319809764147,1,Аналитик,4.6805523051720103e-05,0.00015495227469939258,0.0001099928504647198,6.75949709341625e-05,0.0
ВОЛС,3,,,,0.0009705910899737941,0,Data scientist,0.00042124970746548095,3.099045493987852e-05,0.0002199857009294396,0.0,0.0
многомерные сети,4,,,,9.705910899737941e-05,3,ML инженер,0.0,0.0,0.0,6.75949709341625e-05,0.0
быстрая обучаемость,5,,,,0.00019411821799475881,2,Инженер данных,0.0,3.099045493987852e-05,5.49964252323599e-05,0.0,0.0
Учет ТМЦ,6,,,,0.0007764728719790353,0,Data scientist,0.00028083313831032063,0.0,0.0,0.000135189941868325,0.0002518257365902795
Навыки ведения переговоров,7,58290.0,95000.0,117450.0,0.0018441230709502086,3,ML инженер,0.0003276386613620407,0.0001859427296392711,0.0,0.000405569825604975,0.0
Математическое моделирование,8,90000.0,150000.0,187050.0,0.004173541686887315,4,Big Data,0.0010297215071378423,0.000774761373496963,0.000494967827091239,0.0012843044477490874,0.0017627801561319568
Интернет-магазин,9,,,,0.00038823643598951763,1,Аналитик,0.0,0.00012396181975951408,0.0,0.0,0.0
COGS,10,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
PostgeSQL,11,,,,9.705910899737941e-05,2,Инженер данных,4.6805523051720103e-05,3.099045493987852e-05,5.49964252323599e-05,0.0,0.0
KYC,12,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
master data,13,,,,0.00019411821799475881,0,Data scientist,4.6805523051720103e-05,3.099045493987852e-05,0.0,0.0,0.0
SOFTWARE FLOW CONTROL TECHNICIAN,14,,,,9.705910899737941e-05,3,ML инженер,0.0,0.0,0.0,6.75949709341625e-05,0.0
Робототехника,15,,,,0.00038823643598951763,3,ML инженер,9.361104610344021e-05,0.0,0.0001099928504647198,0.000135189941868325,0.0
B1 - Intermediate,16,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
SAN,17,,,,0.0005823546539842764,2,Инженер данных,4.6805523051720103e-05,3.099045493987852e-05,0.0002749821261617995,6.75949709341625e-05,0.0
LLVM,18,,,,9.705910899737941e-05,3,ML инженер,0.0,0.0,0.0,6.75949709341625e-05,0.0
TestComplete,19,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
Вежливость,20,,,,0.0002911773269921382,3,ML инженер,0.0,0.0,5.49964252323599e-05,0.000135189941868325,0.0
Теплые звонки,21,,,,0.0002911773269921382,3,ML инженер,0.0,0.0,0.0,0.0002027849128024875,0.0
Электроснабжение,22,,,,0.0008735319809764147,2,Инженер данных,0.00014041656915516032,0.0,0.0002749821261617995,0.000135189941868325,0.0
РСЯ,23,,,,0.0002911773269921382,0,Data scientist,9.361104610344021e-05,6.198090987975704e-05,5.49964252323599e-05,0.0,0.0
Знание основ линейной алгебры и аналитической геометрии,24,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
Транспортная инфраструктура,25,,,,0.0007764728719790353,2,Инженер данных,9.361104610344021e-05,3.099045493987852e-05,0.0002199857009294396,6.75949709341625e-05,0.0
Анализ АБС,26,,,,0.0007764728719790353,1,Аналитик,4.6805523051720103e-05,0.00021693318457914962,0.0,0.0,0.0
Умение составлять документы,27,,,,0.00019411821799475881,0,Data scientist,9.361104610344021e-05,0.0,0.0,0.0,0.0
Метрология,28,,,,0.00038823643598951763,2,Инженер данных,0.0,0.0,0.0002199857009294396,0.0,0.0
Google Ads,29,,,,0.0011647093079685529,1,Аналитик,0.0002340276152586005,0.00030990454939878515,0.0,6.75949709341625e-05,0.0002518257365902795
Умение планировать и грамотно организовывать рабочий процесс,30,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
Организация движения и учета документов,31,,,,0.00048529554498689704,3,ML инженер,4.6805523051720103e-05,6.198090987975704e-05,0.0,0.000135189941868325,0.0
Работа с первичной документацией,32,,,,0.00038823643598951763,0,Data scientist,9.361104610344021e-05,0.0,5.49964252323599e-05,6.75949709341625e-05,0.0
Поиск объектов,33,,,,0.0002911773269921382,2,Инженер данных,4.6805523051720103e-05,3.099045493987852e-05,5.49964252323599e-05,0.0,0.0
DAMA,34,,,,9.705910899737941e-05,0,Data scientist,4.6805523051720103e-05,0.0,0.0,0.0,0.0
Региональные сети,35,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Fashion,36,,,,0.00019411821799475881,0,Data scientist,4.6805523051720103e-05,3.099045493987852e-05,0.0,0.0,0.0
Работа с детьми с ОВЗ,37,,,,9.705910899737941e-05,0,Data scientist,4.6805523051720103e-05,0.0,0.0,0.0,0.0
iac,38,,,,0.00019411821799475881,4,Big Data,0.0,0.0,5.49964252323599e-05,0.0,0.0002518257365902795
контекст,39,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Корейский язык,40,,,,0.0002911773269921382,2,Инженер данных,4.6805523051720103e-05,0.0,0.0001099928504647198,0.0,0.0
MS Project Expert,41,,,,0.00038823643598951763,2,Инженер данных,4.6805523051720103e-05,0.0,0.00016498927569707968,0.0,0.0
Spring Boot 2,42,,,,0.00019411821799475881,0,Data scientist,9.361104610344021e-05,0.0,5.49964252323599e-05,0.0,0.0
Управленческий учет,43,71250.0,88500.0,117500.0,0.0034941279239056587,1,Аналитик,0.0002340276152586005,0.0010536754679558696,0.0,0.0,0.0002518257365902795
Оборудование,44,,,,9.705910899737941e-05,0,Data scientist,4.6805523051720103e-05,0.0,0.0,0.0,0.0
PyTorch,45,,,,0.0046588372318742115,3,ML инженер,0.0012637491223964428,0.00027891409445890663,0.0009349392289501183,0.0029065837501689876,0.0015109544195416771
Informatica,46,,,,0.0002911773269921382,2,Инженер данных,4.6805523051720103e-05,3.099045493987852e-05,0.0001099928504647198,0.0,0.0
