vacancy_id,employer,name,salary_row,salary,salary_from,salary_to,experience,schedule,skills,description,address,url
80295803,ООО ОРЁЛ,Гувернантка/гувернер,от 80 000 до 90 000 руб. на руки,,0,0,более 6 лет,"Полная занятость, полный день","['Английский язык', 'Грамотность', 'Творческое мышление', 'Образованность', 'Преподаватель', 'Педагогика', 'Обучение и развитие', 'Опыт работы с детьми', 'Позитивный настрой', 'Английский\xa0— C1 — Продвинутый']","Требуется гувернантка для двоих детей школьников: девочка и мальчик (9 лет). Дети учатся в школе. Дополнительно занимаются дзюдо и хоровым пением. Семья в поисках доброй, позитивной гувернантка для детей, которая сможет организовывать их досуг, всесторонне развивать и оказывать помощь в обучении. Семья ищет гувернантку на длительный срок.    Обязанности:  Забирать детей из школы; Отводить детей на доп. занятия, кружки; Обучение английскому языку; Прогулки; Проведение с детьми дополнительных занятий (математика, домашная работа и др); Обучение детей по школьной программе;  Требования:  Высшее педагогическое образование (обязательно); Знание различных обучающих методик; Знание английского языка; Знание школьной программы (для начальных классов), обязательно хорошее знание и умение преподавать математику; Желательно наличие рекомендаций; Активность, грамотная речь, крепкая нервная система;  Условия:  График работы 5/2, 8-ми часовой рабочий день (начало и окончание дня плавающий); Оформление по договору, возможна работа с самозанятым; ЗП 80000-90000 (по результатам собеседования), выплачивается 2 раза в месяц;  (убираться в доме или готовить для детей не требуется) Передвижение с детьми осуществляется на машине с водителем. Прошу обратить внимание, что школа детей находится на м. Профсоюзная, а проживают дети м. Румянцево. В летний период дети будут находится в городе.Ключевые навыкиАнглийский языкГрамотностьТворческое мышлениеОбразованностьПреподавательПедагогикаОбучение и развитиеОпыт работы с детьмиПозитивный настройАнглийский — C1 — ПродвинутыйЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопрос",,https://hh.ru/vacancy/80295803
80295927,ООО Бьюти-Систем,Менеджер по продажам профессиональной косметики,от 60 000 до 200 000 руб. до вычета налогов,,0,0,1–3 года,"Полная занятость, полный день","['Холодные продажи', 'Ведение переговоров', 'Поиск и привлечение клиентов', 'B2B Продажи', 'MS Excel', 'Ведение отчетности', 'Сопровождение клиентов', 'Контроль дебиторской задолженности', 'Развитие дистрибуции']","Премиальный косметический бренд для волос из Германии (GLYNT Professional) рад принять в свою команду активно настроенных, позитивных коллег. Работы много, скучно не будет ;) Мы ищем талантливого и энергичного торгового представителя для продвижения нашего профессионального косметического бренда на рынке. Ваша задача будет заключаться в установлении контактов с потенциальными клиентами, продаже нашей продукции и поддержании долгосрочных отношений с клиентами. Опыт в сфере продаж в бьюти - огромный плюс. Обязанности:  работа с салонами красоты/профессиональными магазинами в Москве. поиск клиентов, проведение презентации и подготовка к обучению с профессиональным косметическим брендом для волос.  Требования: - Опыт работы в продажах косметики или смежной отрасли- Знание основных принципов продаж и умение убеждать клиентов- Отличные коммуникативные и организационные навыки- Уверенный пользователь ПК и знание программы Excel-Готовность учиться и развиваться. Мы предлагаем:- Конкурентную заработную плату и бонусы за достижение целей- Обучение продажам и продукции- Карьерный рост и возможность развития в компании- Корпоративную мобильную связь и компьютер- Работу в дружном коллективе профессионалов Если вы готовы принять вызов и стать частью нашей команды, отправьте свое резюме на нашу электронную почту. Мы будем рады рассмотреть вашу кандидатуру!  Ключевые навыкиХолодные продажиВедение переговоровПоиск и привлечение клиентовB2B ПродажиMS ExcelВедение отчетностиСопровождение клиентовКонтроль дебиторской задолженностиРазвитие дистрибуцииКонтактная информацияПоказать контактыЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопрос",,https://hh.ru/vacancy/80295927
80296471,АО Первый хлебокомбинат,Инженер-программист,от 55 000 руб. на руки,,0,0,3–6 лет,"Полная занятость, полный день","['Delphi', 'SQL', 'Borland Delphi', 'Базы данных', 'C#']","Обязанности: -Сопровождение и разработка прикладных программ в среде Delphi по работе с базами данных. Требования: -Образование высшее фундаментальное по специальности ""Программирование"" и т.п. и/или высшее, среднее специальное техническое с опытом программирования и сопровождения баз данных; -Знание языка запросов SQL, навыки работы с базами данных FOXPro, Oracle; -Знание среды разработки программ Delphi; -Умение анализировать существующий программный код; -Вдумчивость, работоспособность. Условия: -Официальное трудоустройство согласно ТК РФ; -График работы 5/2 по 8 часов (пн.- пт. с 08.00 до 16.45, сб.-вс.); -Официальная и своевременная заработная плата (выплата два раза в месяц); -13 заработная плата; -Соц.пакет в т.ч. частичная компенсация питания и проезда до работы и с места работы; -Рабочее место в центре города; -Оформление документов в военкомате на бронирование. Приглашаем работать в стабильной и развивающейся Компании, ответственно относящейся к своим сотрудникам и потребителям!Ключевые навыкиDelphiSQLBorland DelphiБазы данныхC#Контактная информацияПоказать контактыЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопросАдресЧелябинск, 3-го Интернационала, 107Показать на большой карте","Челябинск, 3-го Интернационала, 107",https://hh.ru/vacancy/80296471
80296698,ИП Новиков Иван Александрович,Механик/электромеханик,от 70 000 до 120 000 руб. до вычета налогов,,0,0,1–3 года,"Полная занятость, полный день",[],"Ремонт различного производственного оборудования , Территориально промзона Рыбацкое . 10 минут пешком от метро . 70 000 это на испытательный срок , если все ок , то затем оклад 80 000 , 120 000 это то что получается по факту с учётом переработок . Ждём ваших резюме , далее общаемся и можно выходить сразу же на пробные дни на работу . Есть проверка на полиграфе ( искажение данных в резюме / махинации на предыдущих местах работ ) с этими вещами не готовы приглашать . Коллектив потому что хороший и менять тенденцию нет желанияЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопрос",,https://hh.ru/vacancy/80296698
80297021,Lesta Games,Data Engineer (ETL Developer),з/п не указана,,0,0,3–6 лет,"Полная занятость, полный день",[],"Мы в Lesta Games (Санкт-Петербург, Москва, Минск) ведем разработку игровых проектов в различных жанрах и для разных платформ, а также экспериментируем с инструментами и технологиями. Мы уже выпустили несколько игр, аудитория которых насчитывает миллионы игроков по всему миру. Но мы не планируем останавливаться на достигнутом – впереди много работы, чтобы сделать наши проекты еще более успешными.Мы хотим делать наши проекты еще лучше, поэтому ищем Data Engineer/ETL Developer, который будет формировать логику взаимодействия с сырыми данными и их последующее преобразование в метрики для бизнес пользователей. Чем предстоит заниматься:  Создавать средства взаимодействия с источниками данных, поддерживать используемые сторонние коннекторы. Имплементировать логику ETL-трансформаций на Spark, PL/SQL, Hive, Impala. Поддерживать и оптимизировать существующие ETL-процессы. Создавать модели данных, удовлетворяющие потребности бизнес-заказчиков. Взаимодействовать с командами разработки с целью формирования консистентных логов и событий, достаточных для решения аналитических задач. Изучать и внедрять лучшие практики разработки ПО в работу команды.  Требования:  Опыт работы ETL-разработчика/инженера по работе с данными. Опыт работы со Spark, Scala/Python Отличные знания в составлении запросов и трансформации данных с помощью SQL, PL/SQL. Опыт работы с системами контроля версий (Subversion, Git). Владение английским языком (чтение технической документации).  Плюсом будет:  Знание Hadoop-экосистем. Опыт оптимизации сложных запросов. Знакомство с продуктовой аналитикой, понимание принципов формирования продуктовых метрик.  Что предлагаем  Работу в аккредитованной IT-компании. Если вы из другого города, поможем с переездом. Расширенный полис ДМС. Спортзал и душевые в офисе, компенсация большей части стоимости годового абонемента сети спортклубов. Обучение: внутренние и внешние семинары, тренинги. Бесплатное питание (завтраки, ужины), компенсация обедов. Релакс-зоны с массажными креслами Yamaguchi и топовыми кофемашинами. Мы тестируем наши продукты в игровых с мощным железом и приставками. Но если хотите размяться в офлайне, у нас есть настольный теннис, хоккей и кикер. Work-life balance: приходим в офис с 9 до 10, уходим с 18 до 19. Задайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопрос",,https://hh.ru/vacancy/80297021
80297022,Lesta Games,Data Engineer (ETL Developer),з/п не указана,,0,0,3–6 лет,"Полная занятость, полный день",[],"Мы в Lesta Games (Санкт-Петербург, Москва, Минск) ведем разработку игровых проектов в различных жанрах и для разных платформ, а также экспериментируем с инструментами и технологиями. Мы уже выпустили несколько игр, аудитория которых насчитывает миллионы игроков по всему миру. Но мы не планируем останавливаться на достигнутом – впереди много работы, чтобы сделать наши проекты еще более успешными.Мы хотим делать наши проекты еще лучше, поэтому ищем Data Engineer/ETL Developer, который будет формировать логику взаимодействия с сырыми данными и их последующее преобразование в метрики для бизнес пользователей. Чем предстоит заниматься:  Создавать средства взаимодействия с источниками данных, поддерживать используемые сторонние коннекторы. Имплементировать логику ETL-трансформаций на Spark, PL/SQL, Hive, Impala. Поддерживать и оптимизировать существующие ETL-процессы. Создавать модели данных, удовлетворяющие потребности бизнес-заказчиков. Взаимодействовать с командами разработки с целью формирования консистентных логов и событий, достаточных для решения аналитических задач. Изучать и внедрять лучшие практики разработки ПО в работу команды.  Требования:  Опыт работы ETL-разработчика/инженера по работе с данными. Опыт работы со Spark, Scala/Python Отличные знания в составлении запросов и трансформации данных с помощью SQL, PL/SQL. Опыт работы с системами контроля версий (Subversion, Git). Владение английским языком (чтение технической документации).  Плюсом будет:  Знание Hadoop-экосистем. Опыт оптимизации сложных запросов. Знакомство с продуктовой аналитикой, понимание принципов формирования продуктовых метрик.  Что предлагаем  Работу в аккредитованной IT-компании. Если вы из другого города, поможем с переездом. Расширенный полис ДМС. Спортзал и душевые в офисе, компенсация большей части стоимости годового абонемента сети спортклубов. Обучение: внутренние и внешние семинары, тренинги. Бесплатное питание (завтраки, ужины), компенсация обедов. Релакс-зоны с массажными креслами Yamaguchi и топовыми кофемашинами. Мы тестируем наши продукты в игровых с мощным железом и приставками. Но если хотите размяться в офлайне, у нас есть настольный теннис, хоккей и кикер. Work-life balance: приходим в офис с 9 до 10, уходим с 18 до 19. Задайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопрос",,https://hh.ru/vacancy/80297022
80297170,Beauty Today,Визажист-стилист,от 45 000 до 80 000 руб. на руки,,0,0,1–3 года,"Полная занятость, сменный график","['Визаж', 'Вечерние прически', 'Укладка волос', 'Макияж', 'Вечерний макияж', 'Коррекция бровей', 'Make Up', 'Окрашивание бровей']","Сеть стильных и современных dry баров «BEAUTY TODAY» ищет новых стилистов - визажистов с опытом работы) Мы ищем стилиста в нашу дружную команду, человека - универсала, с желанием развиваться в своей профессии) Пожалуйста, присылайте портфолио по номеру телефона вместе с резюме или ссылку на портфолио. Требования: - опыт работы в beauty сфере от 1,5 лет - выполнение качественного макияжа - умение делать причёски, локоны, пучки, косы - умение делать укладку на фен, коррекцию и окрашивание бровей Условия:  Прически и брови - 40/60, все расходные материалы предоставляет салон Макияж - 50/50 - косметика ваша. График 2/2 , 3/3 (при необходимости возможно обсуждение) работа с 10 до 10. Так же наш салон работает под запись с 8 утра Минимальная ставка за выход от 1500 рублей  В нашей студии есть комната отдыха, кухня , чай , кофе У Вас будет время передохнуть на удобном диванчике с чашечкой горячего кофе  Ключевые навыкиВизажВечерние прическиУкладка волосМакияжВечерний макияжКоррекция бровейMake UpОкрашивание бровейКонтактная информацияПоказать контактыЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопросАдресСанкт-Петербург, Удельная, проспект Энгельса, 40Показать на большой карте","Санкт-Петербург, Удельная, проспект Энгельса, 40",https://hh.ru/vacancy/80297170
80297302,Wclik,SEO-специалист,от 45 000 до 80 000 руб. на руки,,0,0,не требуется,"Полная занятость, полный день","['HTML', 'SEO', 'CSS', 'Технический аудит сайта', 'Поисковая оптимизация сайтов', 'Продвижение сайтов', 'Внутренняя оптимизация сайта', 'Конкурентная аналитика', 'CRM Битрикс 24', 'Внешняя оптимизация сайта', 'Российские поисковые системы', 'Создание систем перелинковок', 'Поисковая оптимизация мобильной версии сайта', 'внутренний аудит сайта', 'внешний аудит сайта', 'Аудит поисковой видимости сайта', 'SEO оптимизация', 'Составление семантического ядра', 'Быстрое обучение', 'Грамотная письменная речь', 'Работа в условиях многозадачности', 'CRM Bitrix24', 'Поиск информации в интернет', 'Анализ посещаемости сайтов', 'Google Analytics', 'Internet Marketing', 'WEB аналитика', 'Веб-аналитика', 'Key Collector', 'Сбор и анализ информации']","Наша команда занимается разработкой решений в сфере IT. Мы не только создаем сайты и продвигаем бизнес в интернете, но и автоматизируем внутренние процессы, внедряем CRM Битрикс24 в отделы продаж, производства и обслуживания.Мы очень быстро растем и расширяем команду, в связи с чем ищем активного и амбициозного SEO специалиста.Обязанности: Продвижение сайтов в поисковых системах;Сбор и кластеризация семантических ядер;Составление стратегии SEO-продвижения;Исследование рынка конкурентов;Постановка технических заданий копирайтерам, программистам.Проведение комплексного аудита сайта, составление рекомендаций. Требования: Знание SEO-программ и сервисов (для сбора позиций, аналитики, автоматизации процессов и т.д;Понимание принципов работы поисковых систем Google и Яндекс (краулинг, парсинг, индексация, ранжирование);Знание систем контекстной и таргетированной рекламы;Желание постоянно развиваться в сфере интернет-маркетинга – придумывать новые стратегии продвижения, пробовать работать с новыми инструментами на основе проанализированных данных;Опыт в продвижении;Способность к обучению и быстрому усваиванию информации;Умение работать в команде;Знание HTML и CSS будет являться плюсом; Что мы предлагаем:• Оплачиваемая стажировка во время обучения;• Оклад 40000 + Премия. Выплаты: 2 раза в месяц;• График работы: 5/2, 9:00-18:00 или 10:00-19:00;• Возможность профессионального и карьерного роста до руководителя отдела маркетинга;• Работа в офисе, не удаленно. Офис по адресу Ямашева 36. Специальности: Помощник SEO-специалист, помощник маркетолога,Ключевые навыкиHTMLSEOCSSТехнический аудит сайтаПоисковая оптимизация сайтовПродвижение сайтовВнутренняя оптимизация сайтаКонкурентная аналитикаCRM Битрикс 24Внешняя оптимизация сайтаРоссийские поисковые системыСоздание систем перелинковокПоисковая оптимизация мобильной версии сайтавнутренний аудит сайтавнешний аудит сайтаАудит поисковой видимости сайтаSEO оптимизацияСоставление семантического ядраБыстрое обучениеГрамотная письменная речьРабота в условиях многозадачностиCRM Bitrix24Поиск информации в интернетАнализ посещаемости сайтовGoogle AnalyticsInternet MarketingWEB аналитикаВеб-аналитикаKey CollectorСбор и анализ информацииЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопросАдресКазань, проспект Ямашева, 36Показать на большой карте","Казань, проспект Ямашева, 36",https://hh.ru/vacancy/80297302
80297522,ПАО МТС Банк,Руководитель направления по оптимизации бизнес - процессов,з/п не указана,,0,0,3–6 лет,"Полная занятость, полный день",[],"



Мы ФинТех – часть экосистемы МТС


Вам предстоит:  Участие в роли процессного менеджера в проектах и задачах по автоматизации/оптимизации и реорганизации бизнес-процессов; Самостоятельная проработка с Заказчиком целей и задач проекта. В т..ч., разработка схем бизнес-процессов AS-IS и TO-BE. Разработка и согласование скоупа задач проекта, декомпозиция и доведение до исполнителей задач проекта. Приоритезация задач. Организация оценки стоимости и трудозатрат работ. Контроль за исполнением вех проекта. Участие (совместно с разработчиками, аналитиками и архитекторами) в разработке технологической документации (бизнес-требования, технические задания, концепция архитектуры и т.п.).  Мы ожидаем:  Опыт работы на позиции аналитика/ технолога не менее 3х лет; Опыт участия в реализации проектов; Навыки системного анализа и бизнес-анализа; Знание методик оптимизации бизнес-процессов и навыки автоматизации бизнес-процессов; Навыки самостоятельной работы с технической документацией; Знание основ и принципов банковского бухгалтерского учета; Понимание основных бизнес-процессов кредитных организаций; Знание и применение в работе графических нотаций BPMN, UML (в том числе диаграмма последовательностей); Понимание форматов данных (JSON, XML и т.п.), протоколы и интерфейсы интеграционного взаимодействия (Rest, SOAP и т.п.). Опыт постановки требований к их разработке; Большим плюсом будет опыт работы с АБС ЦФТ.  Твои преимущества: В МТС Банке тебя ждет возможность предлагать и реализовывать идеи, открытость к экспериментам, профессиональное развитие за счет новых и сложных задач, постоянная прокачка экспертизы в смежных отраслях за счет кроссфункционального взаимодействия, свобода действовать и нести ответственность за результат. А еще:  Достойная заработная плата; Отсутствие дресс-кода; Современный и уютный офис в 2х минутах от м. Технопарк; Корпоративное кафе «Мечта» и отличный кофе на первом этаже БЦ; Специальный тариф на мобильную связь для тебя и близких и корпоративные предложения на банковские продукты; Забота о тебе и твоей семье: ДМС со стоматологией, сессиями с психологом и госпитализацией, страхование от несчастных случаев и болезней 24/7 и страхование выезжающих за рубеж. К ДМС можно подключить детей и родственников. А еще доступ к телемедицине BestDoctor; На всякий случай в офисе работает врач, а для желающих мы периодически организуем вакцинацию – это удобно; Мы за спорт: вместе тренируемся в MTS Running Club, в офисе есть бесплатный тренажерный зал. Присоединяйся к корпоративным спортивным командам; Поддержка сотрудников: программа материальной помощи в различных жизненных ситуациях. 



МТС Банк – это финтех продукты и технологичные сервисы, а еще любимое место работы для 5000 сотрудников 
Быть лучшим цифровым банком




Создавай продукты будущего



Будь собой в культуре идей



Работай в удовольствие



Задайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопросАдресМосква, проспект Андропова, 18Показать на большой карте","Москва, проспект Андропова, 18",https://hh.ru/vacancy/80297522
80297643,ООО ДАН СПОРТ,Экономист,от 30 000 руб. на руки,,0,0,1–3 года,"Полная занятость, полный день","['1C: Бухгалтерия', 'Расчет себестоимости', 'Движение денежных средств', '1С: Бухгалтерия и склад', 'Дебиторская задолженность', 'Многозадачность', 'Адекватность', 'Анализ себестоимости', 'Формирование бюджета', 'Управленческая отчетность', 'ABC-анализ', 'Анализ продаж', 'Анализ затрат', 'Мотивация', 'Расчет и анализ себестоимости продукции и услуг', 'Контроль и анализ ценообразования', 'Мотивация сотрудников', 'Бюджетирование', 'SQL запросы', 'Финансовый анализ']","Обязанности:   Управленческий учет- постановка и ведение, анализ первичной документации, формирование/контроль платежей и контроль исполнения бюджета, анализ бухгалтерских данных. Ежедневный отчет о движении денежных средств, работа с клиент-банком, анализ договоров. Составление бюджета доходов и расходов; бюджета движения денежных средств по компании в разных разрезах, корректировка и контроль исполнения бюджета по основным, прямым и операционным расходам. Расчет основных экономических показателей по бюджету, расчет плановой и фактической себестоимости, анализ затрат, знание ценообразования . Внесение корректировок в бюджет компании. Оптимизация затрат. Раскрытие причин существенного роста/спада затрат на основе сопоставления элементов затрат за квартал/полугодие/год текущего года с аналогичными затратами аналогичного периода прошлого года; план-факторный анализ затрат; расчет рентабельности, точки безубыточности компании, расчет экономической целесообразности проектов; Формирование отчетов по форматам компании; Контроль кредиторской и дебиторской задолженностей; Работа с неликвидными запасами ТМЦ;Проведение инвентаризации; АВС анализ клиентов и товаров. Разработка и контроль системы лояльности клиентов и мотивации персонала. Отчеты по запросу отделов продаж, аналитики и руководства.   Требования:  Хорошее знание Excel. 1С:Бухгалтерия. 1С:Управление продажами Пытливый ум, умение работать на результат и в многозадачности, не конфликтность, умение расставлять приоритеты, соблюдение конфиденциальности, преданность руководству. Знание основ постановки и ведения управленческого учета.  Условия:  Растущая международная компания в сфере спортивных товаров для единоборств. Дружный коллектив. Адекватное руководство. Работа не на время просиживания в офисе, а на результат. Возможна частичная удаленная работа и частичная занятость после постановки учета. Основной офис находится в Гурьевске, бухгалтерия в Калининграде, частично возможно работать на удаленке. Ключевые навыки1C: БухгалтерияРасчет себестоимостиДвижение денежных средств1С: Бухгалтерия и складДебиторская задолженностьМногозадачностьАдекватностьАнализ себестоимостиФормирование бюджетаУправленческая отчетностьABC-анализАнализ продажАнализ затратМотивацияРасчет и анализ себестоимости продукции и услугКонтроль и анализ ценообразованияМотивация сотрудниковБюджетированиеSQL запросыФинансовый анализЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопрос",,https://hh.ru/vacancy/80297643
