vacancy_id,employer,name,salary_row,salary,salary_from,salary_to,experience,schedule,skills,description,address,url,query,publish_city_str
80525063,Старлинк,Менеджер по продажам B2B,от 100 000 руб. до вычета налогов,True,87000.0,87000.0,1–3 года,"Полная занятость, полный день","['B2B Продажи', 'Активные продажи', 'Холодные звонки', 'Управление продажами', 'Поиск и привлечение клиентов', 'Холодные продажи', 'Навыки продаж', 'Навыки презентации', 'Деловое общение']","Если:  Вы целеустремленный и энергичный Вы хотите стать успешным и значимым Хотите достичь высоких жизненных позиций, тогда наша компания готова предложить Вам вакансию ведущий специалист по продажам услуг связи юридическим лицам B2B  Должностные обязанности:  Поиск и привлечение новых абонентов Активные продажи услуг компании Консультация по данным услугам Согласование с абонентом условий договора и его подписание Поиск и привлечение объектов коммерческой недвижимости Работа со смежными подразделениями компании Формирование отчетности  Требования:  Целеустремлённость, коммуникабельность, стрессоустойчивость Высокий эмоциональный интеллект, обучаемость; Отсутствие страха перед холодными звонками Умение преодолевать основные возражения клиентов Опыт работы в сфере продаж  Условия:  Благоустроенный офис (2 минуты пешком от метро) Возможность горизонтального и вертикального роста; Отличный дружный коллектив Оформление по ТК РФ График работы 5/2 Обсуждаемое финансовое вознаграждение по результатам собеседования согласно вашему опыту и компетенциям. Ключевые навыкиB2B ПродажиАктивные продажиХолодные звонкиУправление продажамиПоиск и привлечение клиентовХолодные продажиНавыки продажНавыки презентацииДеловое общениеЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопрос",,https://hh.ru/vacancy/80525063,['специалист по данным'],Вакансия опубликована 16 мая 2023 в Москве
80525087,ООО Axenix (ранее Accenture),QA Engineer,з/п не указана,False,,,3–6 лет,"Полная занятость, полный день","['SQL', 'Swagger', 'Тестирование', 'Postman']","Команда Axenix (ex-Accenture) продолжает работу на российском рынке и аккумулирует 30-ти летний консалтинговый опыт внедрения инновационных решений. Практика Software Engineering в Axenix сегодня – это более 500 исключительных людей, которые работают в области кастомной разработки и проектного управления. Мы создаем цифровые решения на микросервисной архитектуре для банков, ритейлеров и металлургических компаний. В России мы работаем в офисах в Москве, Твери и Ростове-на-Дону, а также удаленно. Постоянно обмениваемся опытом и экспертизой. На проекты в направлении банкинга, ресурсов и продуктов мы приглашаем в команду специалиста по тестированию Здорово, если ты:  Работал (а) в аналогичной роли в коммерческих проектах кастомной разработки более 2х лет Можешь написать запросы к БД для получения выборки данных (желательно PostgreSQL), в том числе с джоинами (желательно) Умеешь пользоваться swagger’ом и postman'ом Знаешь различия в нотациях моделирования бизнес-процессов и можешь читать и понимать техническую документацию Понимаешь методологию тестирования и взаимосвязь процесса тестирования с циклом разработки и проектирования  Какие задачи предстоят:  Тестирование функционала и обеспечение качества продукта Работа по SCRUM в дружном молодом коллективе с отсутствием бюрократии  Мы предлагаем:  Динамичную работу без рутины в ведущей IT компании Возможность использовать передовые технологии и стратегии и менять бизнес наших клиентов к лучшему Проекты в разных индустриальных направлениях с передовыми технологическими решениями и современной архитектурой приложений Конкурентоспособный уровень дохода, годовые бонусы и регулярное повышение по результатам Performance Review Культуру непрерывного обучения: сертификация, online и offline обучение в России, менторство в профессиональном развитии ДМС с первого дня работы, включая стоматологию, в лучших клиниках для cотрудника и его семьи (жена/муж, дети до 18 лет) Страхование жизни в размере годового оклада сотрудника Программу поддержки сотрудника и его родственников по психологическим, юридическим, финансовым вопросам Дополнительные дни оплачиваемого отпуска в год Ежемесячную денежную компенсацию на питание Программу корпоративных привилегий PrimeZone (более 1000 ведущих поставщиков продуктов и услуг) Спортивные и развлекательные мероприятия за счет компании Ключевые навыкиSQLSwaggerТестированиеPostmanЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопросАдресМосква, Павелецкая, Павелецкая пл., 2, строение 2Показать на большой карте","Москва, Павелецкая, Павелецкая пл., 2, строение 2",https://hh.ru/vacancy/80525087,['инженер данных'],Вакансия опубликована 16 мая 2023 в Нижнем Новгороде
80525159,Центр развития Среда возможностей,Бизнес-аналитик,до 180 000 руб. до вычета налогов,True,156600.0,156600.0,1–3 года,"Полная занятость, полный день","['Аналитическое мышление', 'Power BI', 'Сбор и анализ информации', 'Анализ данных', 'BPMN', 'Agile', 'Scrum', 'Аналитика']","В Аналитический центр Правительства Москвы требуется бизнес-аналитик Обязанности  Выявление, сбор, анализ и документирование требований Согласование требований с заинтересованными лицами Управление изменениями требований Разработка схем взаимодействия комплекса системы Постановка задач разработчикам Написание сопроводительной документации: функциональных требований, технических заданий, инструкций, руководств, отчетов  Требования  Высшее образование Опыт работы бизнес-аналитиком от 1-го года Опыт написания документов (бизнес-требования, функциональные требования, техническое задание, инструкции, руководства, отчеты) Знание подходов к оптимизации процессов Знание нотации bpmn 2.0 приветствуется Знание PowerBI или отечественных BI-систем приветствуется Применение гибких методологий разработки (Scrum, Agile и т.д.) Знание принципов безопасного поведения на рабочем месте, знание ФЗ № 149-ФЗ «Об информации, информационных технологиях и о защите информации», № 152-ФЗ ""О персональных данных""  Условия  Официальное трудоустройство в подведомственное учреждение Правительства Москвы Доход обсуждается по результатам собеседования с успешным кандидатом График работы 5/2 Возможность карьерного и профессионального роста в рамках Комплекса экономической политики и имущественно-земельных отношений города Москвы Внутреннее корпоративное обучение Корпоративный спорт (хоккей, футбол, волейбол, настольный теннис и др.) Скидка на программы ДМС для Вас и ваших близких Обучение со скидкой в Skyeng, МИРБИС, Нетология, GeekBrains, SkillBox и т.д. Скидки партнеров (New Balance, СССР, Pilates class, X-fit, World Class и т.д.)  Мы благодарим Вас за проявленный интерес к нашей вакансии. Ваше резюме будет рассмотрено в течение 14 дней. Если Ваш опыт работы и квалификация соответствуют требованиям к вакансии, мы с Вами свяжемся.Ключевые навыкиАналитическое мышлениеPower BIСбор и анализ информацииАнализ данныхBPMNAgileScrumАналитикаЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопросАдресМосква, улица Макаренко, 4с1Показать на большой карте","Москва, улица Макаренко, 4с1",https://hh.ru/vacancy/80525159,"['аналитик данных', 'business analyst']",Вакансия опубликована 16 мая 2023 в Москве
80525224,ФГУП РФЯЦ-ВНИИТФ им. академ. Е.И.Забабахина,Инженер-патентовед,з/п не указана,False,,,1–3 года,"Полная занятость, полный день",[],"Обязанности:  Подготовка и подача документации для регистрации отдельных видов результатов интеллектуальной деятельности (РИД) и заявок на изобретение: программ и методик исследований, полезных моделей, патентов, ноу-хау, программы для ПЭВМ; Делопроизводство и ведение процесса регистрации заявочных документов на программы и методики исследований, полезные модели, патенты, ноу-хау, программы для ПЭВМ, составление ответов на запросы и уведомления патентного ведомства: Проведение патентных исследований по ГОСТ 15.011-96:патентная чистота, патентоспособность, тематический поиск; Подготовка форм статистической отчётности; Участие в работе по инвентаризации прав на результаты интеллектуальной деятельности.  Требования:  Высшее образование (техническое/юридическое); Опыт ведения делопроизводства по заявкам на программы для ПВЭМ, баз данных; Опыт работы по подготовке отчётов о патентных исследованиях; Знание нормативно-правовых документов в области ИС, умение пользоваться БД ФИПС, ЕАПО, ВОИС, НПВ, умение работать с ГОСТами; Уверенный пользователь ПК; Грамотность, внимательность, способность к быстрому обучению.  Условия:  Опыт работы в качестве патентоведа/специалиста в области интеллектуальной собственности не менее 1 года Работа с базами данных ФИПС, ЕАПО, ВОИС, ЕПВ Английский (чтение со словарём) Опыт организации и проведения патентных исследований и заявок на оформление РИД. Оформление по ТК РФ Задайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопросАдресМосква, Авиамоторная, Красноказарменная улица, 12Показать на большой карте","Москва, Авиамоторная, Красноказарменная улица, 12",https://hh.ru/vacancy/80525224,['инженер данных'],Вакансия опубликована 16 мая 2023 в Москве
80525499,ООО Гудфокаст,Системный аналитик,з/п не указана,False,,,3–6 лет,"Полная занятость, удаленная работа","['SQL', 'Системная интеграция', 'Системный анализ']","Кто мы: GoodsForecast – российский вендор, инновационный лидер в области бизнес планирования на рынке России и стран СНГ, задолго до 2022 года успешно конкурировавший с западными решениями в области интегрированного планирования и сейчас способный полностью заместить решения ушедших зарубежных вендоров. GoodsForecast – резиденты ИТ-кластера фонда «Сколково». Среди наших клиентов «Филип Моррис», KNAUF, Газпромнефть, ГК «ТехноНИКОЛЬ», ПАО «Группа Черкизово», «Верный», SPLAT, Обувная компания «Юничел», BELUGA GROUP, О’КЕЙ.  Мы ищем Системного аналитика. Наш проект:  гибкий low-code инструментарий для создания решений для планирования и оптимизации. Важно: собирать требования нужно будет с других команд разработки в рамках нашей компании, т.е. заказчик=коллега по цеху. Что нужно будет делать:  Собирать и документировать требования Проектировать и описывать архитектуру, потому что проекту всего год, а ряд продуктов, которые будут с ним связаны, только зарождаются Продумывать интеграции с остальными внутренними продуктами (цепи поставок, прогнозирование спроса, упущенные продажи и тп) Проверять разработанный функционал после разработки разработчиками и тестирования тестировщиками, чтоб он соответствовал твоей изначальной задумке Рассказывать заказчикам-коллегам, как использовать разработанное ПО Поддерживать процесс разработки по всем вопросам, касающимся зоны ответственности системного аналитика Совместно с тех писом составлять документацию по проекту  Какие навыки и знания потребуются:  Для системного аналитика важны системность и аналитичноть системность – понимание того, как технически устроена наша сложная система Уметь работать с требованиями заказчика - сбор, анализ и управления хотелками и требованиями Говорить на одном языке с разработчиками – с одной стороны, им нужно ставить задачи в рамках своей команды, с другой стороны – разработчики соседних команд будут основными заказчика для твоего проекта Опыт работы с сервисной архитектурой, понимание основных принципов ее построения Знать BPMN, UML – отрисовать и визуализировать Уметь работать с SQL запросами на уровне самому написать запрос к базе данных, учесть особенности БД при интеграции Понимать REST API – для интеграции с системами наших внешних клиентов Иметь представление об основных концепциях UI/UX, чтоб пользователю было понятно и приятно  10 и 1 причина к нам присоединиться, потому что у нас:  Можно развиваться: конференции, хакатоны, внешнее обучение, развитие через обратную связь от руководителя и регулярные 1:1. За последний год повышение в должности получили 20% сотрудников Свой продукт: российский вендор, импортозамещение SAP Всё гибко: гибридный график – удаленка+офис, гибкое начало дня с 7.00 до 11.00 – комфортно и жаворонкам, и совам, нет бюрократии Зарплаты в рынке: ежегодная индексация, привязка бонуса к результату, белая зарплата, официальное трудоустройство Инновационно: Low-code\no-code платформа, экспертиза в построении эффективных систем ИИ и машинного обучения, инвестиции в R&D до 20% от оборота компании ежегодно Надежно и стабильно: аккредитация в реестре ИТ организаций (льготная ипотека, отсрочка от армии), резидент Сколково Интересно работать: задачи, которые не дают выгорать. Креативные подходы, возможность реализовать свой потенциал Классный коллектив: средний возраст 30-32, крутые наставники, отзывчивые коллеги, харизматичный топ-менеджмент Комфортно: нас рекомендуют друзьям и знакомым – только в 2022 году по рекомендации пришло 30% кандидатов от общего числа новичков, к нам возвращаются «сотрудники-бумеранги» - таких среди нас 10% Заботятся о сотрудниках: ДМС со стоматологией, оплата отпусков и больничных 100%, подарки ко Дню Рождения и другим праздникам, чай, кофе и вкусняшки Весело: корпоративы, дарст и настольный футбол в офисе Ключевые навыкиSQLСистемная интеграцияСистемный анализЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопросАдресКалужская, Москва, Научный проезд, 19Показать на большой карте","Калужская, Москва, Научный проезд, 19",https://hh.ru/vacancy/80525499,['машинное обучение'],
80525501,ООО Промхимпроект,Руководитель/начальник отдела САПР,от 90 000 руб. до вычета налогов,True,78300.0,78300.0,не требуется,"Полная занятость, полный день","['MS Project', 'Информационные технологии', 'Планирование', 'Опытный пользователь ПК', 'Автоматизация процессов', 'Управление процессами', 'Разработка технических заданий', 'Разработка ПО', 'Разработка регламентов', 'Умение работать в условиях многозадачности']","Обязанности:  Общее руководство и координация деятельности подразделения, состоящего из группы ИТ, группы размножения проектной документации, группы инженеров-программистов, группы управления бизнес-процессами организации и календарно-сетевого планирования. Разработка и внедрение в производство методов и систем автоматизированного проектирования; Организация работ по поддержанию в рабочем состоянии IT инфраструктуры компании; Обеспечение бесперебойного функционирования программных средств, сопровождаемых отделом; Организация прав доступа к базам данных программных комплексов систем автоматизированного проектирования и других информационно-технических средств; Реализация проектов по развитию ИТ-инфраструктуры и межсистемной интеграции. Организация поддержки и обновления web-сервисов организации; Определение и согласование с руководством перечней оборудования и программного обеспечения, необходимого и достаточного для функционирования компьютерной сети, систем автоматизированного проектирования, информационных систем управления проектами и других информационно-технических средств; Составление годового и перспективного планов развития систем автоматизированного проектирования, приобретения необходимого оборудования и средств вычислительной техники; Планирование и бюджетирование деятельности отдела; Организация проведения профессионального обучения сотрудников по эксплуатации систем автоматизированного проектирования, информационных систем управления проектами; Участие в совершенствовании бизнес-процессов организации; Участие в разработке технических заданий по автоматизации процессов организации; Контроль выполнения поставленных задач по автоматизации бизнес-процессов организации; Участие в разработке и актуализации документов, касающихся систем управления и регламентации деятельности предприятия; Подготовка стандартов и регламентов использования прикладных программных средств, сопровождаемых отделом; Организация работ по отладке, опытной эксплуатации и поэтапному внедрению прикладных программных средств; Организация работ по размножению и отправке проектной документации.  Требования:  Образование: Высшее профессиональное; Знание средств вычислительной техники, систем автоматизированного проектирования, коммуникаций и связи; Знание и понимание сущности процессов разработки, внедрения и эксплуатации информационных систем; Знание методов проектирования, проведения технико-экономических расчетов и основ календарно-сетевого планирования; Знание методов анализа и разработки бизнес-процессов; Стрессоустойчивость; Коммуникабельность; Инициативность.  Условия:  Оформление по ТК РФ Полный соц. пакет, полис ДМС Размер заработной платы определяется по результатам собеседования Работа в перспективной, динамично развивающейся компании График работы: 5/2, пн-чт с 08:00 до 17:00, пт с 08:00 до 16:00 Возможность карьерного роста. Ключевые навыкиMS ProjectИнформационные технологииПланированиеОпытный пользователь ПКАвтоматизация процессовУправление процессамиРазработка технических заданийРазработка ПОРазработка регламентовУмение работать в условиях многозадачностиКонтактная информацияПоказать контактыЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопросАдресЯрославль, улица Лисицына, 56Показать на большой карте","Ярославль, улица Лисицына, 56",https://hh.ru/vacancy/80525501,['инженер данных'],Вакансия опубликована 16 мая 2023 в Ярославле
80525654,ООО ВсеИнструменты.ру,"Специалист в пункт выдачи заказов (г. Долгопрудный Первомайская ул., д.3а)",от 55 000 руб. на руки,True,55000.0,55000.0,не требуется,"Полная занятость, полный день",[],"    Компания Команда мечты, в которой хочется работать    ""ВсеИнструменты.ру – это Всё для дома, дачи, стройки и ремонта"" Сегодня за нашими плечами 16 лет развития, роста и результата. Благодаря нашим сотрудникам, мы входим в ТОП-10 крупнейших интернет-магазинов России и возглавляем рейтинг e-commerce игроков (№1) в категории «Дом, дача, строительство и ремонт» (рейтинг Data Insight). Наша команда — это более 7000 счастливых сотрудников. Также у нас 8 место в России по индексу лояльности сотрудников и мы входим в TOП-20 рейтинга «Лучших работодателей России» (крупнейшие компании). В настоящий момент наша команда в поиске Специалиста в пункт выдачи заказов, интересующегося инструментами. Будет преимуществом опыт работы на позициях: продавец-консультант, продавец-кассир, менеджер по продажам, менеджер по работе с клиентами, консультант, товаровед, мерчендайзер, специалист склада. Нам точно по пути, если ты:   Согласен, что клиент платит нам зарплату, поэтому стремишься к высокому клиентскому сервису и работаешь на 5 +;   Умеешь работать эффективно, сохраняя доброжелательный настрой;   Стремишься к развитию и хочешь расти карьерно.   Чем нужно будет заниматься:   Выдавать интернет-заказы и консультировать клиентов;   Принимать и размещать товар в магазине;   Проверять работоспособность товара;   Работать с кассой.   Наши условия:   Работа в крупнейшей e-commerce компании, лидер рынка DIY;   Полностью белая и своевременная заработная плата;   График работы обговаривается;   ДМС для сотрудников;   Спортивная политика: 70% оплаты спорта;   Официальное трудоустройство с первого дня работы, оплата больничных и отпусков - в соответствии с ТК РФ;   Карьерный рост по результатам работы;   Постоянное обучение и развитие, собственный Корпоративный университет;   Общение внутри компании ""без галстуков"";   Отсутствие всех видов штрафов;   Драйвовые корпоративные мероприятия для сотрудников и их семей за счет компании;   В целях обеспечения безопасных условий труда сотрудникам выдаются СИЗ.   Хочешь стать частью нашей команды профессионалов? Тогда ждем твой отклик и личного знакомства!    10  причин, почему выбирают именно нас      Возможности для развития и карьерного роста    Официальное трудоустройств с первого дня    Достойный уровень зарплаты и своевременные выплаты    Компенсация 70% от покупки абонемента в спортзал    Крутые активности и улетные корпоративы    Общение внутри компании «без галстуков»    Полный соцпакет с отпусками и больничными    Обучение в Корпоративном университете    Отсутствие всех видов штрафов    ДМСдля сотрудников и их родственников       Есть чем гордиться    в ежегодном рейтинге DIY Retail Russia по результатам информацион­ного агентства INFOLine 2020 год    в рейтинге лучших работодателей России по версии HeadHunter 2021 год    по индексу лояльности сотрудников в России 2020 год    в списке Forbes самых дорогих компаний Рунета 2015 год     Контактная информацияПоказать контактыЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопрос",,https://hh.ru/vacancy/80525654,['data'],Вакансия опубликована 16 мая 2023 в Долгопрудном
80525655,ООО Премиум Бонус,"Тестировщик ПО (ручное тестирование), офис",от 60 000 до 60 000 руб. на руки,True,60000.0,60000.0,1–3 года,"Полная занятость, полный день","['Проведение тестирований', 'Test case', 'Тестирование', 'Функциональное тестирование', 'Тестирование пользовательского интерфейса', 'Регрессионное тестирование', 'Postman', 'Atlassian Confluence', 'HTTP', 'REST', 'SQL', 'Bug Tracking Systems', 'API']","PremiumBonus – прогрессивная российская IT-компания с опытной командой высококлассных специалистов. Мы занимаемся внедрением и поддержкой CDP-платформы собственной разработки, а также автоматизацией маркетинга для бизнеса любого масштаба, интегрируем цифровые решения, при этом помогаем выстраивать компаниям дружеские отношения со своими клиентами.Мы предлагаем множество проверенных инструментов в зависимости от потребностей конкретного бизнеса, среди которых платформа клиентских данных, программы лояльности, мобильные приложения, электронные карты лояльности, модуль электронной коммерции, модуль каскадных коммуникаций, системы аналитики и многое другое. Уже более 6 лет мы помогаем бизнесу наращивать продажи, увеличивать средний чек, частоту покупок и LTV, а также возвращать потерянных клиентов в сфере розничной торговли и электронной коммерции. В нашем портфеле более 150 сетевых компаний и более 300 индивидуальных разработок. Мы ищем опытных сотрудников в отдел тестирования, но так же готовы рассмотреть кандидатов имеющих теоретические знания и желающие реализовать их в деле. Обязанности:  различные виды ручного тестирования продуктов компании (функциональное, ""дымовое"", регрессионное). локализация найденных багов, сбор необходимой информации и внесение в баг-трекер   разработка процедур тестирования (тест-план, тест кейсы). контроль документации на соответствие текущим функциональным возможностям продукта  Требования:  опыт тестирования не менее 6 месяцев знание теории тестирования (виды, методы, этапы, техники тестирования) базовое понимание принципов работы клиент-серверных и мобильных приложений системный подход при поиске ошибок и грамотный, лаконичный багрепортинг ответственное отношение к работе и требовательность к заявленной функциональности продукта  Условия: Вакансия предполагает выполнение тестового задания.  Работа в офисе График 5/2 (с 10.00 до 19.00) Перспективы карьерного роста Минимум рабочих совещаний и бюрократии  Отклики будут рассматриваться только с сопроводительным письмом, которое начинается со слов: ""Рассматриваю работу в офисе""Ключевые навыкиПроведение тестированийTest caseТестированиеФункциональное тестированиеТестирование пользовательского интерфейсаРегрессионное тестированиеPostmanAtlassian ConfluenceHTTPRESTSQLBug Tracking SystemsAPIЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопросАдресМосква, Авиамоторная, 2-я Синичкина улица, 9АПоказать на большой карте","Москва, Авиамоторная, 2-я Синичкина улица, 9А",https://hh.ru/vacancy/80525655,['аналитик данных'],Вакансия опубликована 16 мая 2023 в Москве
80525656,Газпром нефть,Системный аналитик Creatio,з/п не указана,False,,,1–3 года,"Полная занятость, удаленная работа",[],"Мы – команда «Газпромнефть – Цифровые решения», часть ИТ-функции «Газпром нефти». Команда, которая научила нейросети находить нефть, запустила первую в мире цифровую систему управления арктической логистикой и первой в мире заправила самолет по блокчейн. Мы переводим в «цифру» каждый этап работы современного нефтяника: от геологической разведки и бурения скважин до процесса переработки нефти и момента, когда она в виде топлива попадает в баки автомобиля, самолета или, например, становится битумом для строительства дорог. Активы «Газпром нефти» – это сотни петабайт данных, которые генерируют объекты компании в России и за рубежом. Нас вдохновляет идея развития цифрового будущего нефтегазовой отрасли и промышленности в целом. Мы стремимся к большему, и нам нужен Системный аналитик Обязанности:  Сбор, анализ, документирование функциональных и бизнес требований к приложению Участие в обследовании процесса, сборе и формировании бизнес и функциональных требований. Проработка ролевой модели автоматизированного решения. Проектирование бизнес-процессов на продукте terrasoft bpm’online studio с учётом лучших практик и внутренних требований разработки. Участие в проработке механизмов интеграции с информационными системами компании. Участие в приемке разработанной функциональности продукта (автоматизированного решения). Разработка use-case, технической документации по продукту (автоматизированному решению), руководств бизнес-пользователей. Участие в тестирования разработанного продукта (автоматизированного решения).  Требования:  Высшее техническое образование Понимание процессов управления продуктом Понимание современных технологий в области интеграции Знание инструментов и подходов проектирования и прототипирования ПО Знание SQL (на уровне написания несложных запросов) Знание функционала, опыт адаптации и настройки систем класса BPMS Умение быстро подготовить и презентовать проработанное решение Навыки анализа рынка ИТ-решений, анализ потребностей и ожиданий пользователей Опыт написания технической документации (ТЗ, UC, объектная модель, инструкции и тд) Знание BPM-платформы Terrasoft Creatio Способность работать с большим объемом информации в сжатые сроки Умение планировать задачи, правильно расставлять приоритеты Умение быстро учиться, осваивать новую информацию Аналитическое мышление, проактивность, внимание к деталям Убедительность в общении, умение аргументировать свою точку зрения Межличностное понимание и умение работать в команде  Мы предлагаем:  Достойную твоего профессионального уровня заработную плату (уровень вознаграждения обсуждается индивидуально по результатам интервью) Годовую премию по результатам деятельности, дополнительную материальную мотивацию (премии от руководителя) Качественная программа ДМС со стоматологией с первого месяца работы; услуги телемедицины, консультации психолога, страхование жизни и здоровья в том числе за границей, льготные условия страхования для близких и возможность расширить перечень клиник по опции Flexible benefits Трудоустройство в аккредитованную ИТ компанию Компенсация стоимости спортивных абонементов: компания компенсирует до 60% стоимости занятий любыми видами спорта Неограниченный доступ к образовательному контенту на портале знаний от корпоративного университета Подписка на лучшие электронные библиотеки с подборками IT-литературы (и не только) Собственный центр профессионального развития, в котором проводятся комплексные программы обучения hard skills Внутренние демодни, коуч-дни, питчи – то, что поможет продвигать и совершенствовать проекты и собственные идеи Корпоративные скидки для изучения английского языка в малых группах онлайн и офлайн Регулярные карьерные марафоны, индивидуальные карьерные консультации и планы развития Общение вне рабочих рамок – независимо от того, в каком городе ты работаешь! От участия в корпоративных спортивных сообществах до онлайн-экскурсий и неформальных встреч в формате Random coffee.  В «Газпром нефть» ты можешь:  Получить уникальный профессиональный опыт Создавать смелые проекты с нуля и наблюдать за их влиянием на целую отрасль Быть вместе с теми, кого вдохновляют сверхсложные задачи Сочетать несколько ролей, быть частью нескольких команд или участвовать в кросс-функциональных командах Использовать возможности компании-лидера для своей самореализации и убедиться, что любой профессиональный опыт важен Быть среди тех, кто создает первую в России цифровую платформу для управления промышленной компанией нового поколения Неограниченный доступ к образовательному контенту на портале знаний от корпоративного университета Подписка на лучшие электронные библиотеки с подборками IT-литературы (и не только) Собственный центр профессионального развития, в котором проводятся комплексные программы обучения hard skills Внутренние демодни, коуч-дни, питчи – то, что поможет продвигать и совершенствовать проекты и собственные идеи Корпоративные скидки для изучения английского языка в малых группах онлайн и офлайн Регулярные карьерные марафоны, индивидуальные карьерные консультации и планы развития Задайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопрос",,https://hh.ru/vacancy/80525656,['аналитик данных'],Вакансия опубликована 16 мая 2023 в Москве
