vacancy_id,employer,name,salary_row,salary,salary_from,salary_to,experience,schedule,skills,description,address,url,query
79705214,билайн: Контактные центры,Начальник отдела продаж крупному бизнесу,з/п не указана,False,,,1–3 года,"Полная занятость, полный день",[],"               Билайн предоставляет услуги как крупнейшим международным компаниям, так и предприятиям среднего и малого бизнеса. Наша команда B2B всегда готова предложить клиентам самые современные технологии, от облачных АТС и мобильного CRM до продвинутых технологических решений на основе Big Data, облачные хранилища и многое другое. И сейчас у вас есть возможность присоединиться к лучшей команде в качестве Начальника отдела продаж крупному бизнесу. Итак, вам предстоит:  Общее руководство работой отдела продаж крупному бизнесу; Операционное управление продажами и обслуживанием крупных корпоративных клиентов; Личное участие в ключевых продающих встречах, развитие и поддержание доверительных отношений с существующими клиентами; Исполнение бюджета сегмента и ключевых показателей эффективности коммерческой деятельности подразделения; Инициализация и контроль за реализацией проектов; Сбор и ведение отчётности подразделения, анализ результатов.  Мы будем рады рассмотреть вашу кандидатуру, если у вас есть:  Опыт управления от 1-го года; Опыт управления продажами B2B в сфере телекоммуникации, системной интеграции или IT; Опыт общения с первыми лицами крупных компаний; Знание телекоммуникационных продуктов и услуг, цифровых и ит решений.  Мы предлагаем:  Работу в компании, большинство продуктов которой не имеет аналогов на рынке; Сплоченную, дружную команду профессионалов, в которой можно не только успешно реализовывать проекты, но и перенимать опыт и развиваться; Конструктивную и открытую рабочую атмосферу; Работу в стабильной компании и достойный уровень дохода, на который ты будешь влиять самостоятельно.              Команда профессионалов      Участие в конференциях      Корпоративная связь      билайн университет      Медицинское страхование      Скидки на изучение английского   ПАО ""ВЫМПЕЛКОМ"" представляет бренд билайн   Задайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопрос",,https://hh.ru/vacancy/79705214,['Big Data']
79705215,билайн: Контактные центры,Начальник отдела продаж крупному бизнесу,з/п не указана,False,,,1–3 года,"Полная занятость, полный день",[],"               Билайн предоставляет услуги как крупнейшим международным компаниям, так и предприятиям среднего и малого бизнеса. Наша команда B2B всегда готова предложить клиентам самые современные технологии, от облачных АТС и мобильного CRM до продвинутых технологических решений на основе Big Data, облачные хранилища и многое другое. И сейчас у вас есть возможность присоединиться к лучшей команде в качестве Начальника отдела продаж крупному бизнесу. Итак, вам предстоит:  Общее руководство работой отдела продаж крупному бизнесу; Операционное управление продажами и обслуживанием крупных корпоративных клиентов; Личное участие в ключевых продающих встречах, развитие и поддержание доверительных отношений с существующими клиентами; Исполнение бюджета сегмента и ключевых показателей эффективности коммерческой деятельности подразделения; Инициализация и контроль за реализацией проектов; Сбор и ведение отчётности подразделения, анализ результатов.  Мы будем рады рассмотреть вашу кандидатуру, если у вас есть:  Опыт управления от 1-го года; Опыт управления продажами B2B в сфере телекоммуникации, системной интеграции или IT; Опыт общения с первыми лицами крупных компаний; Знание телекоммуникационных продуктов и услуг, цифровых и ит решений.  Мы предлагаем:  Работу в компании, большинство продуктов которой не имеет аналогов на рынке; Сплоченную, дружную команду профессионалов, в которой можно не только успешно реализовывать проекты, но и перенимать опыт и развиваться; Конструктивную и открытую рабочую атмосферу; Работу в стабильной компании и достойный уровень дохода, на который ты будешь влиять самостоятельно.              Команда профессионалов      Участие в конференциях      Корпоративная связь      билайн университет      Медицинское страхование      Скидки на изучение английского   ПАО ""ВЫМПЕЛКОМ"" представляет бренд билайн   Задайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопрос",,https://hh.ru/vacancy/79705215,['Big Data']
79706383,билайн: Бизнес,Старший специалист по продажам малому и среднему бизнесу (В2В),от 70 000 руб. на руки,True,70000.0,70000.0,1–3 года,"Полная занятость, полный день","['B2B Продажи', 'Ведение переговоров', 'Работа в команде', 'Корпоративные продажи', 'проведение переговоров с первыми лицами компании']","               Билайн предоставляет услуги как крупнейшим международным компаниям, так и предприятиям среднего и малого бизнеса.Наша команда B2B всегда готова предложить клиентам самые современные технологии, от облачных АТС и мобильного CRM до продвинутых технологических решений на основе Big Data, облачные хранилища и многое другое. Итак, тебе предстоит:  Активные продажи услуг и продуктов компании; Аналитика действующей базы и выработка инициатив, направленных на сокращение оттока и рост базы; Проведение встреч и переговоров с первыми лицами компании; Составление и отправка коммерческих предложений; Выполнение индивидуального плана продаж.  Мы будем рады рассмотреть тебя, если у тебя есть:  Опыт активных продаж в любой сфере; Навыки деловой переписки; Навыки проведения встреч и телефонных переговоров; Знание ПК, опыт работы с MS Office, оргтехникой, знание средств и ресурсов сети Интернет.                  Команда профессионалов      Участие в конференциях      Корпоративная связь      билайн университет      Медицинское страхование      Скидки на изучение английского   ПАО ""ВЫМПЕЛКОМ"" представляет бренд билайн   Ключевые навыкиB2B ПродажиВедение переговоровРабота в командеКорпоративные продажипроведение переговоров с первыми лицами компанииКонтактная информацияПоказать контактыЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопрос",,https://hh.ru/vacancy/79706383,"['data analyst', 'Big Data']"
79706833,Квартплата 24,Scala / Java Developer (junior),от 50 000 до 90 000 руб. до вычета налогов,True,43500.0,78300.0,1–3 года,"Полная занятость, полный день",[],"Стажерам поможем с освоением наших технологий Проекты, над которыми мы работаем:   Биллинговые системы   Системы и технологии процессинга платежей   Системы аналитики     В своей работе мы применяем:   Гибкие методологии разработки (Agile, Scrum, Kanban)   Языки программирования (Java, Scala, Kotlin)     Reactive distributed microservices   Передовые технологии (CQRS-EventSourcing, Big Data, Machine Learning, Blockchain)   Фреймворки (Akka (cluster))     Системы управления базами данных (PostgreSQL, Cassandra, FoundationDB)   Сервера очередей (Kafka, Apache Artemis)   Технологии контейнеризации (Docker) и оркестрации контейнеров (Kubernetes)   Инструменты управления инфраструктурой (Terraform)   Системы мониторинга (Prometheus, Grafana)   Системы управления репозиториями кода (GitLab, GitLab CI, Nexus)   Системы логирования (Logtash, ELK)   В сотрудниках мы ценим:   Интерес к современным технологиям   Стремление понимать бизнес клиента и предлагать эффективные решения его задач   Полную отдачу проекту, ответственность и аккуратность   Умение добиваться поставленных целей в процессе решения задач   Умение применять на практике правило Парето   Способность объективно оценивать свои слабые и сильные стороны   Упорство в достижении поставленных целей   Стремление к постоянному самосовершенствованию   Мы предлагаем:   Достойное вознаграждение (определяется квалификацией специалиста)   Интересные проекты и возможность для творческого развития   Возможность реального влияния на принятие решений по разрабатываемым продуктам   Нетривиальные задачи, требующие изобретательности и интеллектуальных усилий   Комфортные условия работы в современном офисе с видом на Волгу   Пятидневную рабочую неделю с возможностью изменения графика работы (по договоренности)   Молодой дружный коллектив профессионалов   Отличный сортовой кофе и чай за счет компании   Отсутствие ненужной бюрократии и дресс-кода   Программа ""Корпоративный спорт""   Задачи:   Разработка нового функционала серверной и клиентской частей сервисов B2B, B2C   Интеграция с внешними системами   Рефакторинг и поддержка существующего кода   Покрытие кода юнит-тестами   Участие в решении инцидентов в качестве 3-ей линии поддержки   Требования:   Знание и опыт применения JavaEE   Опыт работы в проектах c Scala/Java/JavaEE от 1 года   Опыт работы с серверами приложений (JBoss, GlassFish или другой подобный)   Понимание принципов UX и практической необходимости реализуемого функционала   Стремление писать красивый, эффективный код и понимание ситуаций, когда это не является главным   Плюсом будет:   Опыт разработки высоконагруженных систем и сервисов   Опыт работы Web Framework (JSF2, GWT, Spring MVC, Struts или другой)      Контактная информацияПоказать контактыЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопросАдресТольятти, Автозаводский район, Спортивная улица, 9Показать на большой карте","Тольятти, Автозаводский район, Спортивная улица, 9",https://hh.ru/vacancy/79706833,"['аналитик данных', 'data analyst', 'machine learning', 'data', 'Big Data']"
79707199,Datanomica,Ведущий Системный Аналитик на проект BPM,от 250 000 до 300 000 руб. до вычета налогов,True,217500.0,261000.0,более 6 лет,"Полная занятость, удаленная работа","['BPMN', 'JSON API', 'XML', 'REST', 'SOAP', 'JSON', 'Agile', 'Java', 'SQL']","Привет! Мы — ООО «Датаномика», решаем проблемы структурирования разнородных данных, которые сложно поддаются анализу, помогаем среднему и малому бизнесу, банкам, ритейлу использовать данные чеков для оценки конъюнктуры спроса и экономических показателей, помогаем банкам повысить качество сервиса финансового планирования и аналитики для клиентов. Сейчас у нас открыта вакансия «Ведущий Системный/Бизнес Аналитик» на проект BPM в крупный Российский банк.  О продукте и команде:   Команда занимается автоматизацией бизнес-процессов рассылки маркетинговых и сервисных коммуникаций клиентам Банка на open source платформе jBPM.   Система внедрена, идет миграция на нее с решений ушедших с российского рынка вендоров, в дальнейшем система будет развиваться в части реализации на ней новых маркетинговых кампаний в интересах Банка и партнеров по экосистеме.   Технологический стек: JSON, REST, SOAP, XML. Чем предстоит заниматься:  Постановка задачи на доработку системы jBPM; Постановка задачи на реализацию кампании; Согласование с заказчиком; Выполнение настроек в jBPM; Приемочное тестирование; Участие в расследовании инцидентов в промышленных средах в зоне своей компетенции.  Необходимые знания и навыки:  Опыт написания и согласования функциональных требований/системных/бизнес-требований/технических спецификаций на разработку от 3-х лет; Опыт работы на позиции системного аналитика/технолога в ИТ-компании в области автоматизации бизнес-процессов от 3-х лет; Знание нотаций (BPMN, IDEF, блок-схемы и т.д) и опыт описания бизнес-процессов; Знания в области построения интерфейсов взаимодействия между автоматизированными системами (Работа с XML, JSON. Понимание принципов работы REST, SOAP, микросервисной архитектуры); Опыт участия в проектах по интеграции систем, понимание подходов к интеграции систем, их сильных и слабых сторон; Знание основ баз данных и современных процессов и средств разработки ПО; Опыт описания data driven приложений; Опыт работы с Kafka; Понимание одного из современных языков программирования хотя бы на уровне чтения кода; Способность работать в команде и навыки организации межкомандного взаимодействия; Высшее техническое образование; Знания и практический опыт работы в Agile командах.  Будет большим плюсом:  Знание смежных проф. областей (Data Science, поведенческая аналитика и т.д.); Опыт программирования на JAVA; Знание SQL, на уровне написания сложных, вложенных запросов / циклов / процедур; Опыт работы с DevOps.  Мы предлагаем:  Работа в ИТ-аккредитованной компании; Удалённый формат работы на территории РФ; Гибкий график работы; Официальная «белая» зарплата; Оформление с первого рабочего дня, полное соблюдение ТК РФ;  Интересные, амбициозные задачи с достижимым результатом, понятным заказчиком и продуктом;   Достаточную свободу действий, инструментарий и необходимые ресурсы;  Регулярное обучение и профильные конференции, современное оборудование для работы. Ключевые навыкиBPMNJSON APIXMLRESTSOAPJSONAgileJavaSQLЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопрос",,https://hh.ru/vacancy/79707199,"['data science', 'data analyst', 'business analyst']"
79707869,ГК Фармасинтез,Менеджер по развитию продуктового портфеля,з/п не указана,False,,,3–6 лет,"Полная занятость, полный день","['Анализ рынка', 'Английский язык', 'MS PowerPoint', 'Аналитические исследования', 'Подготовка презентаций', 'Английский\xa0— C1 — Продвинутый']","     Крупнейший производитель лекарственных препаратов  Топ-3 Среди быстроразвивающихся технологических компаний России*   топ-5 в рейтинге Forbes «20 лучших фармкомпаний России»**   топ-10 По объему государственных закупок***       5заводовВысокотехнологичныx  Иркутск • Братск • Уссурийск тюмень • санкт-петербург   >200 Портфель выпускаемых препаратов   3500+ Высококвалифицированных специалистов        Обязанности:   Прогнозирование продаж;   Исследование рынка отрасли, анализ тенденций развития, анализ конкуренции;   Планирование продуктовой стратегии;   Расчет окупаемости проектов;   Анализ и оценка различных сегментов фармацевтического рынка с целью поиска перспективных продуктов, коррелирующих с продуктовым портфелям компании;   Подготовка бизнес-кейсов (технико-экономического обоснования) для каждого продукта, предлагаемого для включения в продуктовый портфель;   Оценка продуктовых портфелей компаний – объектов сделки M&A, в рамках Due Diligence;   Анализ поступающих предложений приобретения или возможности продвижения препаратов других производителей с целью расширения продуктового портфеля;   Ведение аналитических данных по конкурентам, подготовка презентаций или аналитических справок.   Требования:   Высшее образование (фармацевтическое, экономическое);   Опыт работы в фармацевтических компаниях в направлении развития бизнеса не менее 2 – ух лет;   Знание конъектуры фармацевтического рынка;   Знание основных методов, применяемых для аналитики рынка и продуктового портфеля (PEST, SWOT, рыночное и продуктовое прогнозирование продаж, DCF);   Умение работать с основными информационными оболочками фармацевтических баз данных (IMS (IQUIA), DSM, Comcon, AlphaRM, RNC Pharm, Global Data, HeadWay и пр.)   Владение расчетами и критериями приемлемости по окупаемости проектов/продуктов;   Умение пользоваться аналитическими базами по анализу фармацевтического рынка;   ПК - продвинутый пользователь (MS office: Word, Excel, Power point);   Свободное владение английским языком;   Внимательность, ответственность.   Условия:  Трудоустройство, гарантии и компенсации – в соответствии с Трудовым Кодексом РФ; График работы: 5/2, выходные дни: суббота, воскресение; Компенсация питания; Полис ДМС; Заработная плата обсуждается индивидуально по результатам собеседования.    Создавая лекарства, сохраняем жизни! *по данным национального рейтинга “ТехУспех”, 2020 **по данным рейтинга Forbes, 2020 ***по данным рейтинга  DSM Group, 2020    Ключевые навыкиАнализ рынкаАнглийский языкMS PowerPointАналитические исследованияПодготовка презентацийАнглийский — C1 — ПродвинутыйЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопросАдресМосква, Пресненская набережная, 12Показать на большой карте","Москва, Пресненская набережная, 12",https://hh.ru/vacancy/79707869,['data analyst']
79708064,ООО СТИ,Главный специалист ОВиК,от 160 000 до 180 000 руб. на руки,True,160000.0,180000.0,3–6 лет,"Полная занятость, полный день","['AutoCAD', 'Autodesk Revit', 'Управление проектами', 'Разработка технических заданий', 'Работа в команде']","В молодой Компании, созданной группой единомышленников, обладающих многолетним опытом и авторитетом на рынке проектирования и управления строительством объектов гражданского, промышленного и специального назначения открыта вакансия Главный специалист ОВиК Обязанности:  разработка проектной и рабочей документации по вентиляции, отоплению и кондиционированию, противодымной вентиляции, контроль решений на соответствие Бюджету проекта на СМР; сбор исходных данных, при необходимости осуществляет выезд на объект на предпроектное обследование; входной контроль и анализ полноты ИРД. Участие в подготовке материалов для подачи заявок на ТУ (при необходимости); разработка ТЗ в части ОВиК для Заказчика. Согласование ТЗ с ГИПом; постановка задач Ведущим инженерам/Подрядчикам, управление работой и проверка выполненных проектов при необходимости; выдавать задания и взаимоувязывать все инженерные разделы по системам ОВиК с конструктивными, архитектурными, технологическими и другими решениями; участие в совещаниях и коммуникации по проектам с ГИПом и рабочей группой по проекту, при необходимости с Заказчиком; участие в решении спорных вопросов и утверждение общего технического решения, увязка разделов проекта; ежемесячные отчеты о затраченных нормочасах в рамках проекта; подготовка еженедельного отчета о ходе реализации проекта с освещением всех имеющихся проблем; защита проекта перед Заказчиком и в Надзорных органах (в т.ч. в Ресурсоснабжающих организациях), прохождение государственной экспертизы; участие в авторском надзоре за проектом, внесение необходимых изменений в ПД.  Требования:  активный человек (предпочтения по гендерному признаку отсутствуют); наличие высшего образования - профильное высшее техническое (ТГВ); опыт работы в строительных компаниях/проектных институтах по проектам административного и общественного назначения (школы, мед. учреждения, ВУЗы и прочее), полная автономность в проектировании; опыт самостоятельной разработки проектной и рабочей документации по системам отопления, теплоснабжения, вентиляции, противодымной защиты, кондиционирования объектов реконструкции и нового строительства; проектирование холодоснабжения, ИТП – приветствуется; опыт соответствующих расчетов по системам отопления, теплоснабжения, вентиляции, противодымной защиты; опыт подбора отопительного и вентиляционного оборудования; знание нормативной базы: ФЗ, СП, ГОСТы, 87-е Постановление РФ; опыт работы со смежными специальностями; опыт прохождения государственных экспертиз с получением положительных заключений; опыт работы по авторскому надзору; уверенный пользователь ПК: MS Word; MS Excel; MS Outlook; AutoCad; Revit – приветствуется.  Условия:  официальное трудоустройство; офис в пешей доступности от станции метро; график 5/2 с 9:00 до 18:00; заработная плата оговаривается после прохождения собеседования с руководителем; возможность профессионального и карьерного роста.  Преимущества Компании:  работа команды профессионалов с использованием успешного опыта при реализации проектов различного уровня сложности и масштаба, в том числе проектов государственного значения; оперативное реагирование на изменение рабочей ситуации и принятие необходимых управленческих решений в кратчайшие сроки; большие возможности развития.  Принципы Компании:  безусловное соблюдение правил, норм, регламентов качества услуг и безопасности на проектируемых и возводимых объектах в соответствии с законодательством РФ; применение современных технологий проектирования, строительства и управления процессами; понимание потребностей и целей наших партнеров и всесторонняя помощь в достижении этих целей; честные, открытые отношения c заказчиками, партнерами, контрагентами и сотрудниками. Ключевые навыкиAutoCADAutodesk RevitУправление проектамиРазработка технических заданийРабота в командеЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопросАдресМосква, Белорусская, улица Бутырский Вал, 68/70с2Показать на большой карте","Москва, Белорусская, улица Бутырский Вал, 68/70с2",https://hh.ru/vacancy/79708064,['инженер данных']
79708255,ООО Технологии Строительных Проектов,Инженер ПТО / Ведущий инженер ПТО,от 100 000 до 140 000 руб. на руки,True,100000.0,140000.0,3–6 лет,"Полная занятость, гибкий график",[],"Обязанности: Обязательно знание общестроительных и отделочных работ, инженерных коммуникаций: ОВиК и ВК, ЭОМ и СС, Автоматизация. ПНР  Входной контроль ПСД, РД. Формирование замечаний. Обеспечение строительной площадки комплектом РД. Проверка соответствия объемов строительно-монтажных работ утвержденной проектно-сметной документации, рабочим чертежам, строительным нормам и правилам, стандартам. Участие в рассмотрении и согласовании возникающих в ходе строительства изменений проектных решений. Оформления необходимой технической документации в ходе и по окончании работ на объекте. Проверка нарядов и актов КС-2 подрядчиков (в части объемов СМР) на соответствии проекту и объемам фактически выполненных работ. Участие в работе комиссий по приемке строительных объектов и сдаче их в эксплуатацию. Учет законченных строительно-монтажных работ и подготовка данных для составления отчетности. Ведение накопительных ведомостей выполненных работ. Подготовка ведомостей объемов работ для сметного отдела. Ведение установленной отчетности. Подготовка полного пакета исполнительской документации по объекту. Согласование и подписание исполнительской документации у Заказчика. Взаимодействие со смежными подразделениями, заказчиками, проектировщиками.  Требования:  Образование высшее профессиональное по специальности: ""Промышленное и гражданское строительство"", ""Городское строительство и хозяйство"" и т.д. Опыт работы не менее 3 лет в сфере строительства. Знание требований законодательства РФ касательно регулирования строительной отрасли в т.ч.: допуски, лицензирование, иная разрешительная документы в строительстве, порядок их получения. Знание действующих нормативно-технических и нормативно-правовых документов в сфере проектирования и строительства Знания технических требований, регламентов и современных технологий в строительстве. Навыки ведения переговоров и деловой переписки. Знание AUTOCAD – обязательно!    Условия:  Реконструкция, капитальный ремонт, реставрация. Объекты социального назначения. Территориально- г. Москва и ближайшее Подмосковье. Стабильная заработная плата: оклад + премия. Выплачивается официально. Отличный, дружный коллектив. Лояльное руководство. Гибкий график работы: 8-17, 9-18, 10-19. В пятницу короткий рабочий день. Уютная комната для приема пищи: холодильник, микроволновка, кофемашина, чай, кофе. Комфортный стильный офис в Многофункциональном бизнес-центре ""Ханой"". Москва, Ярославское шоссе, 146 к.2. Шатлы до ТЦ Ханой от м.ВДНХ (15 минут), проезд бесплатный. Шаговая доступность от ж/д платформы ЛОСЬ (Ярославское направление).   Контактная информацияПоказать контактыЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопросАдресМосква, Ярославское шоссе, 146к2Показать на большой карте","Москва, Ярославское шоссе, 146к2",https://hh.ru/vacancy/79708255,['инженер данных']
79708646,Movavi,Senior Data Analyst,з/п не указана,False,,,3–6 лет,"Полная занятость, удаленная работа","['SQL', 'Python', 'Английский язык', 'PostgreSQL', 'Анализ данных', 'Английский\xa0— B2 — Средне-продвинутый']","       18      лет в мире IT и мультимедиа    200+        стран-пользователей     Мы хотели написать, что Movavi — это международная IT компания полного цикла. Что мы создали больше 20 продуктов для работы с фото и видео. И что ими пользуются люди из 200 стран. Но решили, что это скучно. Потому что Моvavi — это про творчество и возможности.  В нас горит огонь мультимедиа и мы верим, что каждый человек талантлив. У нас есть огромное желание показать миру, что творчество — это просто.  Кстати, простота — наша ключевая продуктовая ценность. Мы пишем статьи и код, создаем визуал и интерфейс, работаем над продуктами и над собой.  Если это подходит тебе, присоединяйся! Чем предстоит заниматься:   Проверять гипотезы, проводить разведывательный анализ данных и искать точки роста в маркетинговых и продуктовых взаимодействиях с пользователем   Строить BI-отчетность по различным процессам компании   Улучшать текущий процесс А/Б-тестирования   Автоматизировать аналитические процессы совместно с другими аналитиками   Активно участвовать и развивать data-driven подход в компании   Работать над улучшением механизмов маркетинговой атрибуции доходов компании   Наш стек:  СУБД: PostgreSQL, ClickHouse, BigQuery ETL, enrichment, research: Airflow + Python BI: Redash + Superset  Для успешного выполнения задач тебе потребуется:   Опыт работы аналитиком от трех лет   Уверенное знание математического аппарата для разведывательного анализа, проверки гипотез и проведения экспериментов   Владение SQL на уровне решения любых задач выборки и обработки данных   Владение Python или другими ЯП для анализа данных   Понимание принципов и метрик e-commerce и продуктовой аналитики   Навыки разработки отчетности в BI-системах   Знание английского языка   Работа в Movavi – это:  Быть частью продуктовой софтверной компании: все – от концепции до дистрибуции – делаем сами Работать с трендовым рынком мультимедиа Делать 20 приложений и программ, переведенных на 18 языков Получать отзывы от пользователей по всему миру. Нашими приложениями пользуются журналисты BBC из Англии, фотографы из США, видеооператоры из Бразилии, блогеры из России, мы сами, наши друзья, ваши друзья. Может быть, вы? :) Находиться в команде профи, готовых делиться экспертизой Работать удаленно из любой точки мира  Если ты не получил ответ на отклик в течение трех рабочих дней: 1. Проверь папку «Спам» в электронной почте. Возможно, письмо с ответом оказалось там. 2. Позвони или напиши нам.   #movaviteam                   Ключевые навыкиSQLPythonАнглийский языкPostgreSQLАнализ данныхАнглийский — B2 — Средне-продвинутыйЗадайте вопрос работодателюОн получит его с откликом на вакансиюГде располагается место работы?Какой график работы?Вакансия открыта?Какая оплата труда?Как с вами связаться?Другой вопрос",,https://hh.ru/vacancy/79708646,['data analyst']
