vacancy_id,query
30442878,['data analyst']
34285397,"['машинное обучение', 'инженер данных', 'Artificial intelligence']"
35533373,['business analyst']
37188418,['инженер данных']
41187243,['business analyst']
42636573,['data']
42815531,"['Big Data', 'Database Administrator']"
42815538,['Database Administrator']
43342136,['аналитик данных']
44534510,['специалист по данным']
44835428,['машинное обучение']
45498560,"['data science', 'data engineer']"
46799654,['Database Administrator']
48072838,['специалист по данным']
48788339,"['data science', 'data engineer', 'NLP', 'Big Data']"
49697522,['специалист по данным']
50039599,['инженер данных']
50184098,['business analyst']
50293361,"['data analyst', 'data']"
50454495,['специалист по данным']
50677990,['специалист по данным']
50762751,['инженер данных']
51346476,['инженер данных']
52064431,['business analyst']
52105885,['специалист по данным']
53052818,['машинное обучение']
53271250,['Artificial intelligence']
53416360,['Artificial intelligence']
53725184,['машинное обучение']
53799830,['специалист по данным']
53935399,"['data analyst', 'data mining', 'Business Intelligence Developer']"
54028006,['инженер данных']
54129555,['Artificial intelligence']
54539614,['машинное обучение']
54768844,['инженер данных']
54770203,['инженер данных']
54780511,['Artificial intelligence']
54829296,['data scientist']
54927712,['business analyst']
54948447,['машинное обучение']
54961836,['аналитик данных']
54998465,['business analyst']
55111826,['машинное обучение']
55120284,['business analyst']
55120596,['business analyst']
55144297,['business analyst']
55244076,['business analyst']
55286935,"['аналитик данных', 'инженер данных']"
55328896,['data']
55456341,"['Artificial intelligence', 'Big Data']"
55546700,['аналитик данных']
55584705,['аналитик данных']
55588056,['машинное обучение']
55854882,['Artificial intelligence']
55857001,['business analyst']
55869524,['business analyst']
55903175,['Database Administrator']
66099894,['инженер данных']
66541020,['машинное обучение']
66550537,"['data science', 'data engineer']"
66551504,['аналитик данных']
66658022,"['data analyst', 'data']"
66703296,['инженер данных']
66732985,"['data engineer', 'Data Architect']"
66868822,['машинное обучение']
66987957,['Database Administrator']
67043806,['business analyst']
67116978,['аналитик данных']
67160550,['data engineer']
67221052,['business analyst']
67226541,['инженер данных']
67245543,['business analyst']
67269694,['машинное обучение']
67289531,"['data analyst', 'data']"
67326684,['business analyst']
67439395,"['data engineer', 'Data Architect']"
67450502,"['аналитик данных', 'business analyst']"
67498251,['business analyst']
67507038,['data']
67507400,['data']
67551249,['инженер данных']
67551826,['аналитик данных']
67568844,['data']
67583250,['business analyst']
67666737,"['data analyst', 'data engineer', 'Data Architect', 'data']"
67666738,"['data analyst', 'data engineer', 'Data Architect', 'data']"
67762735,['business analyst']
67857649,['Artificial intelligence']
67924416,"['data scientist', 'data science', 'data engineer', 'deep learning', 'computer vision', 'NLP']"
67965089,['машинное обучение']
67995342,['business analyst']
67996104,"['data analyst', 'data engineer', 'инженер данных', 'data']"
67996119,"['data analyst', 'data engineer', 'data']"
67996407,"['data analyst', 'data engineer', 'data']"
68001362,['Artificial intelligence']
68027537,['специалист по данным']
68036464,"['machine learning', 'data mining', 'data', 'Natural Language Processing', 'Big Data']"
68148229,"['data scientist', 'машинное обучение', 'ML/DL', 'data engineer', 'инженер данных', 'data', 'deep learning', 'computer vision', 'NLP']"
68191341,['Database Administrator']
68197067,['Artificial intelligence']
68287942,['специалист по данным']
68353982,['машинное обучение']
68356854,['машинное обучение']
68388996,['business analyst']
68397820,['инженер данных']
68489073,['Artificial intelligence']
68500558,['инженер данных']
68546208,['machine learning']
68546555,['машинное обучение']
68562912,['data']
68593664,['data analyst']
68594097,['машинное обучение']
68618654,['аналитик данных']
68661557,['Database Administrator']
68773241,['специалист по данным']
68821361,"['data engineer', 'data']"
68837484,['специалист по данным']
68840440,['специалист по данным']
68878856,['инженер данных']
68895864,['инженер данных']
68912123,['машинное обучение']
68948558,['Artificial intelligence']
69021461,['business analyst']
69027863,"['data engineer', 'Big Data']"
69027915,"['data engineer', 'Big Data']"
69043865,['инженер данных']
69109485,['машинное обучение']
69117740,"['Data Architect', 'data']"
69118327,['Artificial intelligence']
69146997,"['data engineer', 'data', 'Big Data']"
69186831,['аналитик данных']
69186832,['аналитик данных']
69243299,['business analyst']
69323431,['Artificial intelligence']
69374378,"['data science', 'data analyst', 'data']"
69379894,"['data scientist', 'data analyst', 'data engineer', 'data', 'Artificial intelligence']"
69402894,['business analyst']
69413715,['data']
69427090,['Artificial intelligence']
69427204,['инженер данных']
69631571,"['data scientist', 'машинное обучение', 'ML/DL', 'data']"
69671697,['business analyst']
69713492,"['data', 'Big Data']"
69767158,['специалист по данным']
69771993,"['data engineer', 'data']"
69772018,['data engineer']
69772060,"['data engineer', 'data']"
69772122,['data engineer']
69779401,['Data Architect']
69788253,['business analyst']
69986728,"['deep learning', 'computer vision', 'NLP', 'GPT']"
70039233,['инженер данных']
70112419,['business analyst']
70203688,['NLP']
70228712,['data']
70347378,['специалист по данным']
70351497,['специалист по данным']
70357314,['Artificial intelligence']
70471994,['аналитик данных']
70511018,['business analyst']
70531286,['business analyst']
70569600,['business analyst']
70667162,"['data science', 'data']"
70680363,"['business analyst', 'Business Intelligence Developer']"
70684373,['deep learning']
70748285,['data']
70748591,['data']
70764197,['специалист по данным']
70837691,"['data engineer', 'data']"
70857973,['машинное обучение']
70882880,['Artificial intelligence']
70900618,['data']
70909900,['data analyst']
70942486,['data']
70953106,['data']
71019497,['business analyst']
71037019,['специалист по данным']
71047800,['инженер данных']
71074864,['data']
71091262,['машинное обучение']
71100110,['business analyst']
71122655,['Artificial intelligence']
71214153,"['аналитик данных', 'data analyst', 'business analyst', 'data']"
71225952,"['data scientist', 'NLP']"
71226010,['NLP']
71231606,['Artificial intelligence']
71231790,['Artificial intelligence']
71260107,"['аналитик данных', 'data analyst', 'data mining', 'data', 'Business Intelligence Developer']"
71287483,['business analyst']
71310626,"['Artificial intelligence', 'Big Data']"
71321985,['Advanced Analytics']
71322369,"['data scientist', 'data science', 'data analyst', 'machine learning', 'data engineer', 'business analyst', 'Data Visualization', 'Data Visualizers', 'Big Data', 'Advanced Analytics', 'Machine Learning Scientist', 'Machine Learning Engineer']"
71345075,['business analyst']
71354398,['машинное обучение']
71362557,['Artificial intelligence']
71378203,['инженер данных']
71379438,['data engineer']
71392355,"['machine learning', 'Machine Learning Engineer']"
71449344,['business analyst']
71490770,['data']
71514589,['business analyst']
71563810,['data']
71578029,"['data analyst', 'data mining', 'Advanced Analytics']"
71596741,['специалист по данным']
71634620,['machine learning']
71650614,['специалист по данным']
71665198,['business analyst']
71715375,"['data analyst', 'data']"
71821696,['машинное обучение']
71830014,['business analyst']
71864086,"['machine learning', 'ML/DL', 'deep learning', 'NLP']"
71887728,['Artificial intelligence']
71897125,['аналитик данных']
71902417,"['data engineer', 'Data Architect', 'Big Data']"
71902418,"['data engineer', 'Data Architect', 'Big Data']"
71902627,"['Data Architect', 'Big Data']"
71902628,"['Data Architect', 'Big Data']"
71903031,['аналитик данных']
71908246,['инженер данных']
71976054,['аналитик данных']
71991677,['Artificial intelligence']
71991678,['Artificial intelligence']
71991679,['Artificial intelligence']
72006450,['data']
72031091,['машинное обучение']
72038789,['машинное обучение']
72054128,"['data science', 'data analyst', 'data engineer', 'Big Data']"
72086045,"['машинное обучение', 'инженер данных']"
72088298,['аналитик данных']
72105640,['data analyst']
72105641,['data analyst']
72105642,['data analyst']
72106926,['business analyst']
72111770,['data']
72123504,['машинное обучение']
72138778,['инженер данных']
72139075,['business analyst']
72169448,['инженер данных']
72184706,['инженер данных']
72256418,['инженер данных']
72300562,['business analyst']
72306488,['Artificial intelligence']
72312345,"['data analyst', 'машинное обучение', 'data engineer', 'инженер данных', 'data', 'Artificial intelligence', 'Big Data']"
72347711,['business analyst']
72347751,['business analyst']
72375782,['Artificial intelligence']
72375783,['Artificial intelligence']
72384054,['машинное обучение']
72414949,['машинное обучение']
72420934,"['machine learning', 'Business Intelligence Developer']"
72551263,['инженер данных']
72553894,['business analyst']
72554051,['business analyst']
72555888,['NLP']
72563146,"['data analyst', 'data engineer', 'data']"
72607089,['инженер данных']
72608911,['специалист по данным']
72646989,['машинное обучение']
72698908,['аналитик данных']
72732355,['business analyst']
72740316,"['data scientist', 'data analyst', 'data']"
72746877,['business analyst']
72747356,"['аналитик данных', 'data analyst', 'data']"
72748390,['Artificial intelligence']
72798766,['business analyst']
72811584,['специалист по данным']
72816203,['business analyst']
72819825,['business analyst']
72850148,['data']
72864389,['data science']
72885814,"['data analyst', 'data engineer', 'инженер данных', 'data', 'Artificial intelligence']"
72888624,['инженер данных']
72888885,"['data analyst', 'Big Data']"
72923267,['машинное обучение']
72964078,['специалист по данным']
72985700,['data analyst']
73000868,['инженер данных']
73013752,['аналитик данных']
73014433,['machine learning']
73015413,['business analyst']
73023003,['Artificial intelligence']
73023069,['Artificial intelligence']
73026937,['data analyst']
73032489,['машинное обучение']
73093950,['business analyst']
73095668,['business analyst']
73100947,"['data analyst', 'data engineer', 'data']"
73132678,"['data analyst', 'Artificial intelligence']"
73134364,['Artificial intelligence']
73135054,['data engineer']
73143897,['business analyst']
73146302,['машинное обучение']
73195133,['аналитик данных']
73231126,['инженер данных']
73235950,"['аналитик данных', 'data analyst', 'data', 'Big Data', 'Business Intelligence Developer']"
73298719,"['data science', 'data analyst', 'machine learning']"
73308695,"['data science', 'data analyst', 'Business Intelligence Developer']"
