skill,skill_id,salary_q25,salary_q50,salary_q75,frequency,popular_profession_id,popular_profession_name,Инженер данных,Аналитик,Аналитик данных,Bi аналитик,ML инженер,Data scientist
Mac Os,0,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
Поисковые системы,1,,,,0.001001001001001001,1,Аналитик,0.0,0.00030950170225936243,0.000304228780042592,0.0,0.0,0.0
Архитектура,2,,,,0.0015015015015015015,4,ML инженер,0.0002701972439881113,0.0,0.000304228780042592,0.0,0.0013175230566534915,0.0
PSM,3,,,,0.0005005005005005005,4,ML инженер,0.0,0.0,0.0,0.0,0.0013175230566534915,0.0
Анализ конкурентной среды,4,45000.0,60000.0,78300.0,0.012012012012012012,1,Аналитик,0.0008105917319643339,0.004023522129371711,0.0018253726802555522,0.0007267441860465116,0.0,0.0
Систематизация архивной документации,5,,,,0.0005005005005005005,2,Аналитик данных,0.0,0.0,0.000304228780042592,0.0,0.0,0.0
BPM,6,,,,0.002002002002002002,1,Аналитик,0.0,0.0009285051067780873,0.0,0.0003633720930232558,0.0,0.0
Vue.js,7,,,,0.001001001001001001,0,Инженер данных,0.0005403944879762226,0.0,0.0,0.0,0.0,0.0
Information Management,8,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
MS Access,9,50000.0,60900.0,87000.0,0.033533533533533534,2,Аналитик данных,0.0010807889759524452,0.00773754255648406,0.009126863401277762,0.0029069767441860465,0.0,0.0
Apache Maven,10,,,,0.002002002002002002,4,ML инженер,0.0008105917319643339,0.0,0.0,0.0,0.0013175230566534915,0.0
Mathematical Modeling,11,,,,0.001001001001001001,5,Data scientist,0.0,0.0,0.0,0.0,0.0013175230566534915,0.0026595744680851063
Triton,12,,,,0.0005005005005005005,4,ML инженер,0.0,0.0,0.0,0.0,0.0013175230566534915,0.0
Удаленная работа,13,47500.0,92500.0,102800.0,0.008008008008008008,0,Инженер данных,0.0016211834639286678,0.0015475085112968121,0.001216915120170368,0.0003633720930232558,0.0,0.0
