,x,y,skill_id,Навык,Профессия,size
0,0.93783796,0.7564016,264,1С: Предприятие 8,Инженер данных,15.8
1,6.854306,0.2703491,1256,Работа в условиях многозадачности,Инженер данных,12.920535714285716
2,1.1491373,0.7163302,1027,Piton,Инженер данных,12.183928571428554
3,-8.41967,0.33676255,1226,Google AdWords,Инженер данных,4.616964285714294
4,1.2419773,0.42948315,981,Автоматизация отчетности,Инженер данных,4.416071428571422
5,6.8199787,0.51398027,370,Quik,Инженер данных,4.148214285714291
6,0.22475325,0.2051631,855,Аналитические исследования,Инженер данных,4.081250000000008
7,11.589537,0.5355331,420,Statistics,Инженер данных,4.081250000000008
8,-4.8995633,0.3457626,765,Кредиторская задолженность,Инженер данных,3.5455357142857205
9,17.774809,-0.054631084,361,Yandex Data Lens,Инженер данных,3.5455357142857205
10,-2.5543253,0.4159966,1203,Стимулирование потребителей,Инженер данных,3.4785714285714375
11,15.788779,0.025502782,1396,Ansible,Инженер данных,3.3446428571428477
12,-0.31227207,0.7297331,818,Security vulnerability disclosure,Инженер данных,3.076785714285715
13,15.843722,0.06236154,108,качественные исследования,Инженер данных,2.8758928571428672
14,5.878724,0.18433127,52,Сельское хозяйство,Инженер данных,2.6080357142857107
15,5.993321,0.60995936,1421,Launching new products,Инженер данных,2.5410714285714278
16,-5.0765195,1.3607482,3,PSM,Инженер данных,2.407142857142863
17,-2.5740685,0.6658071,91,Autodesk Maya,Инженер данных,2.0723214285714233
18,-4.7172265,0.29575327,614,Бухгалтерский учет,Инженер данных,2.0723214285714233
19,-0.24054676,0.7027279,792,Командообразование,Инженер данных,1.938392857142858
20,-2.8424237,0.5927392,1779,Работа с документами постоянного хранения,Инженер данных,1.938392857142858
21,1.9615905,0.78040266,1506,Greenplum,Инженер данных,1.938392857142858
22,21.371328,-0.46686405,261,BPMN 2.0,Инженер данных,1.938392857142858
23,8.960619,0.3918145,946,Составление описания должностей,Инженер данных,1.871428571428575
24,-6.464602,0.4187118,1715,OLAP,Инженер данных,1.871428571428575
25,12.694087,-0.38342717,1422,Amplitude,Инженер данных,1.8044642857142923
26,12.088442,-0.14171024,200,Управление интернет-проектами,Инженер данных,1.8044642857142923
27,-19.466177,0.022075461,825,Mockito,Инженер данных,1.7375000000000091
28,-3.7146544,0.48713076,730,Apache Superset,Инженер данных,1.7375000000000091
29,-19.69629,0.6605484,1547,Oracle Primavera,Инженер данных,1.6035714285714437
30,4.528004,0.45709676,559,B2B Marketing,Инженер данных,1.6035714285714437
31,6.248931,0.0032250253,1114,Оптимизация сайта,Инженер данных,1.6035714285714437
32,-20.517721,-0.5124097,728,Сборка ПК,Инженер данных,1.536607142857136
33,-1.3210579,0.6671763,1287,1С: Бухгалтерия,Инженер данных,1.536607142857136
34,-11.810145,-0.34173736,593,Cassandra,Инженер данных,1.4696428571428533
35,6.1952953,0.7535901,1316,IBM Datastage,Инженер данных,1.4696428571428533
36,10.370918,0.88661337,990,pointcloud,Инженер данных,1.4696428571428533
37,23.759283,-0.48217937,1388,Cognos BI,Инженер данных,1.4026785714285703
38,-19.4746,-0.19085589,1337,Гибкость,Инженер данных,1.4026785714285703
39,-6.1776175,0.40108967,9,MS Access,Инженер данных,1.4026785714285703
40,-11.928623,-0.42226323,1038,GC,Инженер данных,1.4026785714285703
41,-11.276268,-0.46924144,1145,DCF,Инженер данных,1.4026785714285703
42,5.427693,0.11935861,801,Проведение промо акций,Инженер данных,1.3357142857142876
43,-1.0650963,0.6093966,1325,Способность работать с документами,Инженер данных,1.3357142857142876
44,7.1050467,0.30105326,951,Подготовка презентаций,Инженер данных,1.2687500000000047
45,4.250199,0.56550777,21,Software Development,Инженер данных,1.2687500000000047
46,-12.175986,-0.34456146,1276,Rational Rose,Инженер данных,1.2687500000000047
47,-7.5193563,0.22746961,1721,LDAP,Инженер данных,1.2017857142857218
48,-11.485016,-0.47750628,1471,PS Domain,Инженер данных,1.2017857142857218
49,-4.557306,0.22826928,106,Управляемые формы,Инженер данных,1.2017857142857218
50,-7.8396616,0.37846673,1526,EAD,Инженер данных,1.2017857142857218
51,-9.855637,0.2857842,623,QFD,Инженер данных,1.2017857142857218
52,-6.830272,0.57241255,477,JUnit,Инженер данных,1.2017857142857218
53,-1.4255133,0.70483994,693,Социологические исследования,Инженер данных,1.134821428571439
