,x,y,skill_id,Навык,Профессия,size
0,0.73191833,7.0915847,264,1С: Предприятие 8,Инженер данных,15.8
1,1.1503437,6.65508,1256,Работа в условиях многозадачности,Инженер данных,12.841284403669723
2,1.0948875,6.6957307,1027,Piton,Инженер данных,12.08440366972475
3,4.0380907,1.610245,1226,Google AdWords,Инженер данных,4.3091743119266095
4,3.3590398,2.3098314,981,Автоматизация отчетности,Инженер данных,4.102752293577969
5,3.6456378,1.650829,370,Quik,Инженер данных,3.8275229357798155
6,3.2605455,2.2730615,855,Аналитические исследования,Инженер данных,3.758715596330277
7,3.7601,1.3950537,420,Statistics,Инженер данных,3.758715596330277
8,-0.94840616,7.7492843,765,Кредиторская задолженность,Инженер данных,3.208256880733945
9,3.6841772,0.9715153,361,Yandex Data Lens,Инженер данных,3.208256880733945
10,-0.97121936,7.7016435,1203,Стимулирование потребителей,Инженер данных,3.1394495412844066
11,3.2241633,0.9448045,1396,Ansible,Инженер данных,3.001834862385304
12,-2.7871373,8.153943,818,Security vulnerability disclosure,Инженер данных,2.726605504587151
13,2.8967273,0.5044362,108,качественные исследования,Инженер данных,2.5201834862385355
14,2.1657083,0.8124338,52,Сельское хозяйство,Инженер данных,2.244954128440357
15,2.5907903,-0.052711677,1421,Launching new products,Инженер данных,2.176146788990818
16,1.9432554,0.37786436,3,PSM,Инженер данных,2.038532110091742
17,-2.2804708,5.6658926,91,Autodesk Maya,Инженер данных,1.6944954128440242
18,-1.1460894,7.7158337,614,Бухгалтерский учет,Инженер данных,1.6944954128440242
19,-0.61126554,1.9131016,792,Командообразование,Инженер данных,1.5568807339449475
20,-1.242074,3.393041,1779,Работа с документами постоянного хранения,Инженер данных,1.5568807339449475
21,-0.96173865,2.2362893,1506,Greenplum,Инженер данных,1.5568807339449475
22,2.3368523,-1.327079,261,BPMN 2.0,Инженер данных,1.5568807339449475
23,1.9013754,-1.2256727,946,Составление описания должностей,Инженер данных,1.4880733944954092
24,-0.62857723,1.8008593,1715,OLAP,Инженер данных,1.4880733944954092
25,2.2020674,-2.067645,1422,Amplitude,Инженер данных,1.419266055045871
26,2.1170034,-1.8732497,200,Управление интернет-проектами,Инженер данных,1.419266055045871
27,-1.9001163,2.8348775,825,Mockito,Инженер данных,1.3504587155963323
28,-1.786744,5.9271593,730,Apache Superset,Инженер данных,1.3504587155963323
29,0.1478277,-0.99872035,1547,Oracle Primavera,Инженер данных,1.2128440366972557
30,0.25550556,-0.74303055,559,B2B Marketing,Инженер данных,1.2128440366972557
31,-0.24782628,0.8057827,1114,Оптимизация сайта,Инженер данных,1.2128440366972557
32,-1.7991651,4.521059,728,Сборка ПК,Инженер данных,1.1440366972476919
33,-2.0194514,1.6984937,1287,1С: Бухгалтерия,Инженер данных,1.1440366972476919
34,-4.1901007,6.633783,593,Cassandra,Инженер данных,1.0752293577981535
35,1.1461688,-1.9430047,1316,IBM Datastage,Инженер данных,1.0752293577981535
36,1.1363074,-1.382966,990,pointcloud,Инженер данных,1.0752293577981535
37,1.6337596,-2.8084202,1388,Cognos BI,Инженер данных,1.006422018348615
38,-2.1823676,2.449341,1337,Гибкость,Инженер данных,1.006422018348615
39,-3.0557163,6.9657707,9,MS Access,Инженер данных,1.006422018348615
40,-4.3612437,6.970732,1038,GC,Инженер данных,1.006422018348615
41,-5.7141995,5.540977,1145,DCF,Инженер данных,1.006422018348615
42,0.4590599,-1.9495127,801,Проведение промо акций,Инженер данных,0.9376146788990767
43,-2.2149951,0.16270503,1325,Способность работать с документами,Инженер данных,0.9376146788990767
44,0.6985907,-2.3075898,951,Подготовка презентаций,Инженер данных,0.8688073394495384
45,0.97139126,-2.8657968,21,Software Development,Инженер данных,0.8688073394495384
46,-3.4143388,6.966252,1276,Rational Rose,Инженер данных,0.8688073394495384
