,x,y,skill_id,Навык,Профессия,size
0,7.795892,-5.8614674,264,1С: Предприятие 8,Инженер данных,15.8
1,7.9818277,-5.6334963,1256,Работа в условиях многозадачности,Инженер данных,12.920535714285716
2,7.6275215,-5.925127,1027,Piton,Инженер данных,12.183928571428554
3,-1.6543655,3.632711,1226,Google AdWords,Инженер данных,4.616964285714294
4,-1.7883674,4.4380956,981,Автоматизация отчетности,Инженер данных,4.416071428571422
5,-1.737788,6.022561,370,Quik,Инженер данных,4.148214285714291
6,-1.8394564,3.4089568,855,Аналитические исследования,Инженер данных,4.081250000000008
7,-1.4935861,6.4141765,420,Statistics,Инженер данных,4.081250000000008
8,-12.78774,-12.806432,765,Кредиторская задолженность,Инженер данных,3.5455357142857205
9,-1.8722693,7.4625854,361,Yandex Data Lens,Инженер данных,3.5455357142857205
10,-12.709597,-12.788452,1203,Стимулирование потребителей,Инженер данных,3.4785714285714375
11,-0.84683746,5.639026,1396,Ansible,Инженер данных,3.3446428571428477
12,-8.907473,-9.735694,818,Security vulnerability disclosure,Инженер данных,3.076785714285715
13,-0.6819189,6.1558785,108,качественные исследования,Инженер данных,2.8758928571428672
14,-0.4222361,6.014718,52,Сельское хозяйство,Инженер данных,2.6080357142857107
15,-0.0072792037,3.322595,1421,Launching new products,Инженер данных,2.5410714285714278
16,0.35041967,0.44903272,3,PSM,Инженер данных,2.407142857142863
17,-10.471214,-11.1350975,91,Autodesk Maya,Инженер данных,2.0723214285714233
18,-12.66169,-12.882871,614,Бухгалтерский учет,Инженер данных,2.0723214285714233
19,-7.450689,-9.671171,792,Командообразование,Инженер данных,1.938392857142858
20,-8.177874,-10.055342,1779,Работа с документами постоянного хранения,Инженер данных,1.938392857142858
21,-7.963162,-8.62681,1506,Greenplum,Инженер данных,1.938392857142858
22,0.13413821,7.2129145,261,BPMN 2.0,Инженер данных,1.938392857142858
23,1.187707,6.8150897,946,Составление описания должностей,Инженер данных,1.871428571428575
24,-7.281661,-8.777838,1715,OLAP,Инженер данных,1.871428571428575
25,2.5533187,1.8467838,1422,Amplitude,Инженер данных,1.8044642857142923
26,2.639055,2.3425474,200,Управление интернет-проектами,Инженер данных,1.8044642857142923
27,-10.063019,-8.830352,825,Mockito,Инженер данных,1.7375000000000091
