,x,y,skill_id,Навык,Профессия,size
0,0.36546716,1.1473432,264,SQL,Инженер данных,15.8
1,6.7598777,0.3513909,1256,Python,Инженер данных,12.920535714285716
2,0.57299846,1.0225973,1027,Английский,Инженер данных,12.183928571428554
3,-9.011063,1.3539199,1226,Java,Инженер данных,4.616964285714294
4,0.28125468,0.7973935,981,PostgreSQL,Инженер данных,4.416071428571422
5,6.1556754,0.4383405,370,Linux,Инженер данных,4.148214285714291
6,-1.2693218,0.76967597,855,ETL,Инженер данных,4.081250000000008
7,10.91675,0.31497064,420,Big Data,Инженер данных,4.081250000000008
8,-5.250743,1.4262147,765,Аналитическое мышление,Инженер данных,3.5455357142857205
9,16.899567,-0.22082308,361,Git,Инженер данных,3.5455357142857205
10,-2.951642,1.1185998,1203,Анализ данных,Инженер данных,3.4785714285714375
11,14.975971,-0.07651052,1396,Hadoop,Инженер данных,3.3446428571428477
12,-0.8707392,1.080456,818,Управление проектами,Инженер данных,3.076785714285715
13,15.121676,-0.052923206,108,Spark,Инженер данных,2.8758928571428672
14,5.3237824,0.5410788,52,Data Analysis,Инженер данных,2.6080357142857107
15,5.0240784,0.7823487,1421,Kafka,Инженер данных,2.5410714285714278
16,-7.007361,0.9751279,3,DWH,Инженер данных,2.407142857142863
17,-3.1694047,1.0653177,91,MS SQL,Инженер данных,2.0723214285714233
18,-5.102046,1.034483,614,MS PowerPoint,Инженер данных,2.0723214285714233
19,-0.87784874,0.9387393,792,Atlassian Jira,Инженер данных,1.938392857142858
20,-3.4103286,1.1385578,1779,Базы данных,Инженер данных,1.938392857142858
21,1.5186942,0.8883308,1506,xa0— B2 — Средне-продвинутый,Инженер данных,1.938392857142858
22,20.31704,-0.20508118,261,Docker,Инженер данных,1.938392857142858
23,8.428771,-0.06451533,946,xa0— C1 — Продвинутый,Инженер данных,1.871428571428575
24,-7.0578747,1.3325437,1715,xa0— B1 — Средний,Инженер данных,1.871428571428575
25,11.093927,-0.05477357,1422,Spring Framework,Инженер данных,1.8044642857142923
26,10.542375,0.070430204,200,SCALA,Инженер данных,1.8044642857142923
27,-20.94573,0.0019481154,825,Google Analytics,Инженер данных,1.7375000000000091
28,-4.3444557,1.2218751,730,Power BI,Инженер данных,1.7375000000000091
29,-20.59839,0.11482753,1547,ORACLE,Инженер данных,1.6035714285714437
30,3.7776368,0.68698573,559,ClickHouse,Инженер данных,1.6035714285714437
31,6.207081,0.2600311,1114,Математическая статистика,Инженер данных,1.6035714285714437
32,-22.17649,-0.48366192,728,Tableau,Инженер данных,1.536607142857136
33,-1.7899052,1.2079208,1287,Деловая коммуникация,Инженер данных,1.536607142857136
34,-12.489659,0.828349,593,Работа в команде,Инженер данных,1.4696428571428533
35,4.9878516,0.8395668,1316,MySQL,Инженер данных,1.4696428571428533
36,10.495364,0.45569196,990,Pandas,Инженер данных,1.4696428571428533
37,26.01825,0.784738,1388,Kubernetes,Инженер данных,1.4026785714285703
38,-20.9118,-0.37857008,1337,Яндекс.Метрика,Инженер данных,1.4026785714285703
39,-6.6803446,1.4437433,9,Бизнес-анализ,Инженер данных,1.4026785714285703
40,-12.664027,1.2818819,1038,BPMN,Инженер данных,1.4026785714285703
41,-12.024246,1.3393515,1145,UML,Инженер данных,1.4026785714285703
42,4.992643,0.35757205,801,Agile Project Management,Инженер данных,1.3357142857142876
43,-1.537351,1.2078379,1325,CRM,Инженер данных,1.3357142857142876
44,6.936694,0.34759638,951,JavaScript,Инженер данных,1.2687500000000047
45,3.2982254,0.72641265,21,Airflow,Инженер данных,1.2687500000000047
