,x,y,skill_id,Навык,Профессия,size
0,2.0591795,23.346865,264,1С: Предприятие 8,Инженер данных,15.8
1,10.098926,17.467875,1256,Работа в условиях многозадачности,Инженер данных,12.958590308370043
2,3.4835606,22.86304,1027,Piton,Инженер данных,12.23171806167399
3,-10.471697,20.569769,1226,Google AdWords,Инженер данных,4.7647577092511035
4,1.2643113,23.708525,981,Автоматизация отчетности,Инженер данных,4.566519823788534
5,9.581402,18.452223,370,Quik,Инженер данных,4.302202643171805
6,5.0659857,22.762514,855,Аналитические исследования,Инженер данных,4.236123348017623
7,12.589526,13.118561,420,Statistics,Инженер данных,4.236123348017623
8,-6.1430445,23.160631,765,Кредиторская задолженность,Инженер данных,3.7074889867841403
9,15.0333,-7.3125844,361,Yandex Data Lens,Инженер данных,3.7074889867841403
10,-3.442882,23.987772,1203,Стимулирование потребителей,Инженер данных,3.641409691629958
11,14.171,6.131087,1396,Ansible,Инженер данных,3.509251101321569
12,0.48794875,23.615532,818,Security vulnerability disclosure,Инженер данных,3.24493392070484
13,14.29603,3.6910055,108,качественные исследования,Инженер данных,3.0466960352422934
14,8.633735,19.885742,52,Сельское хозяйство,Инженер данных,2.7823788546255406
15,7.7068744,20.842531,1421,Launching new products,Инженер данных,2.7162995594713575
16,-4.931385,24.49623,3,PSM,Инженер данных,2.5841409691629935
17,-4.8483944,23.744993,91,Autodesk Maya,Инженер данных,2.2537444933920576
18,-5.975079,23.19358,614,Бухгалтерский учет,Инженер данных,2.2537444933920576
19,-0.6453315,23.954334,792,Командообразование,Инженер данных,2.121585903083693
20,-4.419747,23.839113,1779,Работа с документами постоянного хранения,Инженер данных,2.121585903083693
21,5.3735704,21.953127,1506,Greenplum,Инженер данных,2.121585903083693
22,17.570818,-24.411995,261,BPMN 2.0,Инженер данных,2.121585903083693
23,11.436259,15.453854,946,Составление описания должностей,Инженер данных,2.0555066079295115
24,-7.7445245,22.508135,1715,OLAP,Инженер данных,2.0555066079295115
25,14.892759,-4.8614807,1422,Amplitude,Инженер данных,1.9894273127753288
26,14.579509,4.082307,200,Управление интернет-проектами,Инженер данных,1.9894273127753288
27,-9.435956,-9.82548,825,Mockito,Инженер данных,1.9233480176211466
28,-5.7299438,23.596308,730,Apache Superset,Инженер данных,1.9233480176211466
29,-8.73471,-8.2117815,1547,Oracle Primavera,Инженер данных,1.7911894273127822
30,6.7825475,21.615921,559,B2B Marketing,Инженер данных,1.7911894273127822
31,9.983252,17.421438,1114,Оптимизация сайта,Инженер данных,1.7911894273127822
32,-10.656303,-14.915389,728,Сборка ПК,Инженер данных,1.7251101321585756
33,-0.64249337,23.83908,1287,1С: Бухгалтерия,Инженер данных,1.7251101321585756
34,-14.223336,16.762157,593,Cassandra,Инженер данных,1.6590308370043934
35,11.053706,16.341303,1316,IBM Datastage,Инженер данных,1.6590308370043934
36,13.466346,12.330308,990,pointcloud,Инженер данных,1.6590308370043934
37,16.860384,-23.743872,1388,Cognos BI,Инженер данных,1.5929515418502112
38,-9.662364,-9.811843,1337,Гибкость,Инженер данных,1.5929515418502112
39,-7.860914,22.356653,9,MS Access,Инженер данных,1.5929515418502112
40,-14.335486,16.566498,1038,GC,Инженер данных,1.5929515418502112
41,-13.623838,17.487383,1145,DCF,Инженер данных,1.5929515418502112
42,8.75104,19.580238,801,Проведение промо акций,Инженер данных,1.526872246696029
43,-0.5467591,23.847752,1325,Способность работать с документами,Инженер данных,1.526872246696029
44,10.80598,16.387821,951,Подготовка презентаций,Инженер данных,1.4607929515418467
45,6.1180544,22.154976,21,Software Development,Инженер данных,1.4607929515418467
46,-14.54441,15.789159,1276,Rational Rose,Инженер данных,1.4607929515418467
47,-8.914264,21.856865,1721,LDAP,Инженер данных,1.3947136563876645
48,-13.948011,17.133091,1471,PS Domain,Инженер данных,1.3947136563876645
49,-5.905788,23.12727,106,Управляемые формы,Инженер данных,1.3947136563876645
50,-9.84825,21.14328,1526,EAD,Инженер данных,1.3947136563876645
51,-13.105444,18.12978,623,QFD,Инженер данных,1.3947136563876645
52,-10.922119,20.47101,477,JUnit,Инженер данных,1.3947136563876645
53,-1.771503,23.93881,693,Социологические исследования,Инженер данных,1.3286343612334823
54,15.005209,-5.2412305,1732,АВР,Инженер данных,1.3286343612334823
55,10.826339,17.728226,146,FreeBSD,Инженер данных,1.3286343612334823
56,-8.673439,22.094376,1427,Marketing Analysis,Инженер данных,1.3286343612334823
57,-10.276146,-11.042543,870,ROI,Инженер данных,1.3286343612334823
58,12.908357,10.79119,485,Grafana,Инженер данных,1.3286343612334823
59,13.227017,-1.5247203,281,Дебиторская задолженность,Инженер данных,1.3286343612334823
60,-3.496881,23.965454,1796,Блок-схема,Инженер данных,1.2625550660793001
61,-12.174089,19.1403,220,Internet Marketing,Инженер данных,1.2625550660793001
62,-14.13745,16.801788,1788,Веб-дизайн,Инженер данных,1.2625550660793001
63,12.737452,11.0279255,546,Data Studio,Инженер данных,1.2625550660793001
64,3.4155247,22.660952,613,Управление бюджетом,Инженер данных,1.2625550660793001
65,-4.7874722,23.84826,1197,воронки продаж,Инженер данных,1.2625550660793001
66,-5.6142635,23.724133,1825,ВЭД,Инженер данных,1.2625550660793001
