,x,y,skill_id,Навык,Профессия,size
0,12.993043,10.383729,264,1С: Предприятие 8,Инженер данных,15.8
1,12.283902,10.4412365,1256,Работа в условиях многозадачности,Инженер данных,12.920535714285716
2,12.348508,10.420267,1027,Piton,Инженер данных,12.183928571428554
3,4.5202336,10.879133,1226,Google AdWords,Инженер данных,4.616964285714294
4,5.5153847,10.493894,981,Автоматизация отчетности,Инженер данных,4.416071428571422
5,4.731769,10.436934,370,Quik,Инженер данных,4.148214285714291
6,5.5217867,10.400014,855,Аналитические исследования,Инженер данных,4.081250000000008
7,4.411349,10.479328,420,Statistics,Инженер данных,4.081250000000008
8,14.722121,9.435841,765,Кредиторская задолженность,Инженер данных,3.5455357142857205
9,4.001849,10.2427635,361,Yandex Data Lens,Инженер данных,3.5455357142857205
10,14.69744,9.385875,1203,Стимулирование потребителей,Инженер данных,3.4785714285714375
11,4.135379,9.744363,1396,Ansible,Инженер данных,3.3446428571428477
12,16.875969,4.956003,818,Security vulnerability disclosure,Инженер данных,3.076785714285715
13,3.7861824,9.252236,108,качественные исследования,Инженер данных,2.8758928571428672
14,4.2454996,8.686357,52,Сельское хозяйство,Инженер данных,2.6080357142857107
15,3.342404,8.75596,1421,Launching new products,Инженер данных,2.5410714285714278
16,3.9181623,8.327026,3,PSM,Инженер данных,2.407142857142863
17,16.466515,6.3742924,91,Autodesk Maya,Инженер данных,2.0723214285714233
18,14.788639,9.22397,614,Бухгалтерский учет,Инженер данных,2.0723214285714233
19,16.458977,3.2699087,792,Командообразование,Инженер данных,1.938392857142858
20,16.49312,4.184464,1779,Работа с документами постоянного хранения,Инженер данных,1.938392857142858
21,16.94308,3.456116,1506,Greenplum,Инженер данных,1.938392857142858
22,1.887892,7.809949,261,BPMN 2.0,Инженер данных,1.938392857142858
23,2.026505,7.529495,946,Составление описания должностей,Инженер данных,1.871428571428575
24,16.331158,3.117234,1715,OLAP,Инженер данных,1.871428571428575
25,0.843015,7.71181,1422,Amplitude,Инженер данных,1.8044642857142923
26,1.128374,7.6886744,200,Управление интернет-проектами,Инженер данных,1.8044642857142923
27,18.086895,4.1249356,825,Mockito,Инженер данных,1.7375000000000091
28,16.669294,7.128843,730,Apache Superset,Инженер данных,1.7375000000000091
29,3.7144768,5.0641947,1547,Oracle Primavera,Инженер данных,1.6035714285714437
30,3.8701735,5.323048,559,B2B Marketing,Инженер данных,1.6035714285714437
31,5.661809,5.615525,1114,Оптимизация сайта,Инженер данных,1.6035714285714437
32,17.488348,5.614704,728,Сборка ПК,Инженер данных,1.536607142857136
33,17.176065,2.7743585,1287,1С: Бухгалтерия,Инженер данных,1.536607142857136
34,14.433722,6.0989127,593,Cassandra,Инженер данных,1.4696428571428533
35,1.7292309,6.1145873,1316,IBM Datastage,Инженер данных,1.4696428571428533
36,2.4823205,6.323672,990,pointcloud,Инженер данных,1.4696428571428533
37,-0.46956196,6.6947665,1388,Cognos BI,Инженер данных,1.4026785714285703
38,18.37745,3.9213405,1337,Гибкость,Инженер данных,1.4026785714285703
