,x,y,skill_id,Навык,Профессия,size
0,-0.27995145,0.33105192,56,SQL,Продуктовый аналитик,15.8
1,0.49287003,2.2186174,121,Python,Продуктовый аналитик,12.585714285714285
2,-3.7313209,-0.9468082,64,Анализ данных,Продуктовый аналитик,11.085714285714284
3,-3.823472,-3.90475,25,Аналитическое мышление,Продуктовый аналитик,10.442857142857143
4,-2.8853867,-0.15257625,158,A/B тесты,Продуктовый аналитик,7.0142857142857205
5,-2.591624,0.5862852,369,Математическая статистика,Продуктовый аналитик,7.0142857142857205
6,-2.079449,-2.4703698,126,Английский,Продуктовый аналитик,5.514285714285717
7,-3.9055548,-1.0985427,383,Power BI,Продуктовый аналитик,5.085714285714285
8,-2.9868126,-0.60808223,610,Tableau,Продуктовый аналитик,4.657142857142854
9,-5.387863,-2.9758737,261,Аналитические исследования,Продуктовый аналитик,3.5857142857142827
10,-7.969907,0.116129965,233,Продуктовая аналитика,Продуктовый аналитик,3.1571428571428513
11,1.1017374,-0.1416393,320,MS SQL,Продуктовый аналитик,2.3000000000000034
12,-7.5794425,-4.225765,13,Анализ рынка,Продуктовый аналитик,2.0857142857142796
13,3.0575085,0.6150347,212,Базы данных,Продуктовый аналитик,2.0857142857142796
14,5.9207144,4.0723763,387,ETL,Продуктовый аналитик,1.8714285714285714
15,-0.47479478,-2.084487,455,Управление продуктом,Продуктовый аналитик,1.8714285714285714
16,-6.8766413,-2.5940056,253,Google Analytics,Продуктовый аналитик,1.8714285714285714
17,-2.0766637,-1.0569959,10,BI,Продуктовый аналитик,1.8714285714285714
18,-6.087409,-4.332273,178,Конкурентная аналитика,Продуктовый аналитик,1.6571428571428481
19,-1.6842419,-1.3318003,219,Работа с большим объемом информации,Продуктовый аналитик,1.6571428571428481
20,-5.7332935,-3.3636837,156,MS Excel,Продуктовый аналитик,1.6571428571428481
21,4.528848,3.313038,265,ClickHouse,Продуктовый аналитик,1.44285714285714
22,0.47494343,-7.813692,21,Бизнес-анализ,Продуктовый аналитик,1.44285714285714
23,-2.36003,1.15094,368,Математический анализ,Продуктовый аналитик,1.44285714285714
24,3.5835059,1.4623383,140,PostgreSQL,Продуктовый аналитик,1.44285714285714
25,-0.21479714,-0.62863535,256,Работа с базами данных,Продуктовый аналитик,1.44285714285714
26,5.0612903,3.7815826,347,Hadoop,Продуктовый аналитик,1.2285714285714315
27,-6.9425416,-3.1599703,195,Яндекс.Метрика,Продуктовый аналитик,1.2285714285714315
28,-2.9645567,0.6363872,465,R,Продуктовый аналитик,1.2285714285714315
29,-8.019717,0.02661289,1249,Firebase,Продуктовый аналитик,1.2285714285714315
30,-3.939892,0.09225067,1230,Визуализация данных,Продуктовый аналитик,1.2285714285714315
31,-3.5139441,-4.5172524,1271,Сбор и анализ информации,Продуктовый аналитик,1.2285714285714315
32,-8.294602,-2.631115,1647,Appsflyer,Продуктовый аналитик,1.0142857142857085
33,-8.063362,-2.786047,32,Amplitude,Продуктовый аналитик,1.0142857142857085
34,-2.5775173,-6.1676908,838,Проведение презентаций,Продуктовый аналитик,1.0142857142857085
35,-8.209409,-4.0566106,225,Анализ инвестиционных проектов,Продуктовый аналитик,1.0142857142857085
36,0.022825412,-7.476038,215,Моделирование бизнес процессов,Продуктовый аналитик,0.8
0,-0.27995145,0.33105192,56,SQL,Аналитик данных,15.8
1,0.49287003,2.2186174,121,Python,Аналитик данных,11.867653276955599
2,-3.7313209,-0.9468082,64,Анализ данных,Аналитик данных,12.406765327695561
3,-3.823472,-3.90475,25,Аналитическое мышление,Аналитик данных,8.632980972515858
4,-2.8853867,-0.15257625,158,A/B тесты,Аналитик данных,1.3073995771670197
5,-2.591624,0.5862852,369,Математическая статистика,Аналитик данных,4.98604651162791
6,-2.079449,-2.4703698,126,Английский,Аналитик данных,6.064270613107818
7,-3.9055548,-1.0985427,383,Power BI,Аналитик данных,6.159408033826646
8,-2.9868126,-0.60808223,610,Tableau,Аналитик данных,2.100211416490491
9,-5.387863,-2.9758737,261,Аналитические исследования,Аналитик данных,1.6245243128964146
11,1.1017374,-0.1416393,320,MS SQL,Аналитик данных,3.1784355179703994
12,-7.5794425,-4.225765,13,Анализ рынка,Аналитик данных,1.6879492600422838
13,3.0575085,0.6150347,212,Базы данных,Аналитик данных,3.400422832980982
14,5.9207144,4.0723763,387,ETL,Аналитик данных,1.3073995771670197
17,-2.0766637,-1.0569959,10,BI,Аналитик данных,1.9733615221987366
19,-1.6842419,-1.3318003,219,Работа с большим объемом информации,Аналитик данных,4.542071881606776
20,-5.7332935,-3.3636837,156,MS Excel,Аналитик данных,4.605496828752645
21,4.528848,3.313038,265,ClickHouse,Аналитик данных,0.9585623678646976
22,0.47494343,-7.813692,21,Бизнес-анализ,Аналитик данных,1.24397463002115
23,-2.36003,1.15094,368,Математический анализ,Аналитик данных,1.8782241014799241
24,3.5835059,1.4623383,140,PostgreSQL,Аналитик данных,2.195348837209303
25,-0.21479714,-0.62863535,256,Работа с базами данных,Аналитик данных,1.9416490486257938
26,5.0612903,3.7815826,347,Hadoop,Аналитик данных,1.465961945031717
30,-3.939892,0.09225067,1230,Визуализация данных,Аналитик данных,1.3073995771670197
31,-3.5139441,-4.5172524,1271,Сбор и анализ информации,Аналитик данных,1.1805496828752646
36,0.022825412,-7.476038,215,Моделирование бизнес процессов,Аналитик данных,1.3073995771670197
37,-5.8910403,-4.0552278,78,MS PowerPoint,Аналитик данных,1.7196617336152267
38,-0.7870539,5.700179,72,Machine Learning,Аналитик данных,1.3073995771670197
39,-1.116315,4.1382947,1675,Pandas,Аналитик данных,1.0219873150105672
40,-7.303532,-3.4692068,9,Маркетинговые исследования,Аналитик данных,0.9902748414376403
41,-2.5681465,-5.343591,2124,Работа в команде,Аналитик данных,0.9585623678646976
42,-2.2191935,-6.644993,17,Деловая коммуникация,Аналитик данных,0.8951374207188123
43,-4.583647,-4.37092,95,Грамотная речь,Аналитик данных,0.8634249471458855
44,-4.3639293,-4.647948,26,Работа в условиях многозадачности,Аналитик данных,0.8317124735729428
45,5.227204,4.2223477,260,Spark,Аналитик данных,0.8
46,-4.9848585,-2.474655,313,VBA,Аналитик данных,0.8
47,-5.5380545,-2.261,87,Google таблицы,Аналитик данных,0.8
0,-0.27995145,0.33105192,56,SQL,Администратор баз данных,5.016589861751153
1,0.49287003,2.2186174,121,Python,Администратор баз данных,1.4912442396313392
3,-3.823472,-3.90475,25,Аналитическое мышление,Администратор баз данных,0.8691244239631359
6,-2.079449,-2.4703698,126,Английский,Администратор баз данных,3.4958525345622116
11,1.1017374,-0.1416393,320,MS SQL,Администратор баз данных,8.8184331797235
13,3.0575085,0.6150347,212,Базы данных,Администратор баз данных,15.8
19,-1.6842419,-1.3318003,219,Работа с большим объемом информации,Администратор баз данных,0.9382488479262718
21,4.528848,3.313038,265,ClickHouse,Администратор баз данных,1.4912442396313392
24,3.5835059,1.4623383,140,PostgreSQL,Администратор баз данных,10.339170506912442
25,-0.21479714,-0.62863535,256,Работа с базами данных,Администратор баз данных,3.70322580645162
42,-2.2191935,-6.644993,17,Деловая коммуникация,Администратор баз данных,1.0073732718894077
44,-4.3639293,-4.647948,26,Работа в условиях многозадачности,Администратор баз данных,1.0073732718894077
48,4.2387776,1.3987209,721,Linux,Администратор баз данных,6.537327188940094
49,3.3965197,0.9692851,608,ORACLE,Администратор баз данных,4.325345622119814
50,4.5869846,-2.2586696,1106,Администрирование,Администратор баз данных,3.5649769585253477
51,-3.3621626,-6.481471,44,1С: Предприятие 8,Администратор баз данных,3.01198156682028
52,3.165998,0.33769315,363,MySQL,Администратор баз данных,2.251612903225805
53,4.581959,-1.637397,1393,Zabbix,Администратор баз данных,1.836866359447009
54,4.0876284,1.6882144,1316,Bash,Администратор баз данных,1.6986175115207374
55,4.116755,-1.2445614,395,Unix,Администратор баз данных,1.4912442396313392
56,4.267944,0.51264924,1133,MongoDB,Администратор баз данных,1.2147465437788056
57,5.57609,4.729354,62,Kafka,Администратор баз данных,1.1456221198156697
58,-5.2600284,-4.008269,130,Пользователь ПК,Администратор баз данных,1.1456221198156697
59,4.7890797,1.6103599,1419,Ansible,Администратор баз данных,1.0764976958525339
60,3.7614262,2.066184,191,Grafana,Администратор баз данных,1.0764976958525339
61,3.919874,4.3421245,24,Docker,Администратор баз данных,1.0764976958525339
62,1.4809787,1.3701569,1247,Oracle Pl/SQL,Администратор баз данных,0.9382488479262718
63,5.411607,-1.3682874,637,PowerShell,Администратор баз данных,0.9382488479262718
64,5.061003,-1.0458564,843,Оптимизация запросов,Администратор баз данных,0.9382488479262718
65,-4.542747,-3.5417607,592,MS Access,Администратор баз данных,0.8691244239631359
66,4.712574,-0.5438724,1196,TCP/IP,Администратор баз данных,0.8691244239631359
67,4.56582,-2.3393998,352,MS Windows,Администратор баз данных,0.8691244239631359
68,4.1389036,-1.4567839,316,Администрирование серверов,Администратор баз данных,0.8691244239631359
69,5.2783966,1.7178122,987,Prometheus,Администратор баз данных,0.8691244239631359
70,3.0358994,4.225495,2009,Git,Администратор баз данных,0.8
71,-0.5921312,-5.811673,532,Информационные технологии,Администратор баз данных,0.8
72,-1.9806341,-5.869019,1322,Высшее образование,Администратор баз данных,0.8
0,-0.27995145,0.33105192,56,SQL,Computer Vision,7.300000000000008
1,0.49287003,2.2186174,121,Python,Computer Vision,15.8
2,-3.7313209,-0.9468082,64,Анализ данных,Computer Vision,2.3000000000000074
3,-3.823472,-3.90475,25,Аналитическое мышление,Computer Vision,1.8
5,-2.591624,0.5862852,369,Математическая статистика,Computer Vision,1.3000000000000076
6,-2.079449,-2.4703698,126,Английский,Computer Vision,14.300000000000008
11,1.1017374,-0.1416393,320,MS SQL,Computer Vision,1.8
23,-2.36003,1.15094,368,Математический анализ,Computer Vision,1.8
24,3.5835059,1.4623383,140,PostgreSQL,Computer Vision,1.8
26,5.0612903,3.7815826,347,Hadoop,Computer Vision,1.8
38,-0.7870539,5.700179,72,Machine Learning,Computer Vision,10.300000000000008
45,5.227204,4.2223477,260,Spark,Computer Vision,1.3000000000000076
48,4.2387776,1.3987209,721,Linux,Computer Vision,2.8
70,3.0358994,4.225495,2009,Git,Computer Vision,4.8
73,0.33341667,6.9301305,334,Computer Vision,Computer Vision,10.799999999999999
74,1.0665071,7.7740088,1125,OpenCV,Computer Vision,9.300000000000008
75,-0.7871199,6.275383,547,PyTorch,Computer Vision,7.799999999999999
76,-0.5025889,6.6656685,1613,Tensorflow,Computer Vision,5.300000000000006
77,0.44015193,5.8672996,205,Алгоритмы,Computer Vision,3.799999999999999
78,-0.61919475,6.6758804,198,Deep Learning,Computer Vision,3.799999999999999
79,-0.5453659,7.6747494,314,C++,Computer Vision,3.799999999999999
80,-1.465013,5.160209,247,Data Science,Computer Vision,3.300000000000008
81,-1.2780901,5.1842604,280,Scikit-learn,Computer Vision,2.3000000000000074
82,0.5313196,7.9937844,93,Линейная алгебра,Computer Vision,1.8
83,-0.88511974,4.84805,330,Numpy,Computer Vision,1.8
84,-1.0982356,6.926942,351,Нейронные сети,Computer Vision,1.8
85,1.3018001,4.9977074,1142,ООП,Computer Vision,1.3000000000000076
86,3.773654,7.8623414,620,spyder,Computer Vision,1.3000000000000076
87,4.086142,7.2045865,16,Парсинг,Computer Vision,1.3000000000000076
88,2.8385167,9.448657,1341,3D,Computer Vision,1.3000000000000076
89,-0.8246699,-6.6351113,790,Jira,Computer Vision,1.3000000000000076
90,3.6933172,7.9334955,1036,beautifulSoup,Computer Vision,1.3000000000000076
91,2.9042635,9.0665655,1456,Qt,Computer Vision,0.8
92,3.715667,8.002758,1977,Selenium IDE,Computer Vision,0.8
93,0.21561013,8.476377,1592,Yolo,Computer Vision,0.8
94,2.7588618,9.947227,2005,ControlNet,Computer Vision,0.8
95,2.9042635,9.0665655,1976,Аналитическая геометрия,Computer Vision,0.8
0,-0.27995145,0.33105192,56,SQL,Big Data,15.8
1,0.49287003,2.2186174,121,Python,Big Data,9.688888888888886
2,-3.7313209,-0.9468082,64,Анализ данных,Big Data,2.94285714285715
3,-3.823472,-3.90475,25,Аналитическое мышление,Big Data,2.307936507936511
5,-2.591624,0.5862852,369,Математическая статистика,Big Data,1.27619047619048
6,-2.079449,-2.4703698,126,Английский,Big Data,3.41904761904763
7,-3.9055548,-1.0985427,383,Power BI,Big Data,1.27619047619048
8,-2.9868126,-0.60808223,610,Tableau,Big Data,1.5936507936507998
11,1.1017374,-0.1416393,320,MS SQL,Big Data,2.6253968253968303
13,3.0575085,0.6150347,212,Базы данных,Big Data,4.133333333333341
14,5.9207144,4.0723763,387,ETL,Big Data,7.466666666666665
17,-2.0766637,-1.0569959,10,BI,Big Data,2.546031746031759
19,-1.6842419,-1.3318003,219,Работа с большим объемом информации,Big Data,7.863492063492074
21,4.528848,3.313038,265,ClickHouse,Big Data,1.0380952380952486
22,0.47494343,-7.813692,21,Бизнес-анализ,Big Data,0.8
24,3.5835059,1.4623383,140,PostgreSQL,Big Data,4.212698412698413
25,-0.21479714,-0.62863535,256,Работа с базами данных,Big Data,0.8
26,5.0612903,3.7815826,347,Hadoop,Big Data,5.958730158730171
38,-0.7870539,5.700179,72,Machine Learning,Big Data,1.27619047619048
42,-2.2191935,-6.644993,17,Деловая коммуникация,Big Data,1.3555555555555687
45,5.227204,4.2223477,260,Spark,Big Data,4.292063492063501
48,4.2387776,1.3987209,721,Linux,Big Data,2.0698412698412794
49,3.3965197,0.9692851,608,ORACLE,Big Data,1.9111111111111196
57,5.57609,4.729354,62,Kafka,Big Data,1.5936507936507998
61,3.919874,4.3421245,24,Docker,Big Data,1.3555555555555687
70,3.0358994,4.225495,2009,Git,Big Data,0.8793650793650889
96,5.9233346,3.3867192,354,DWH,Big Data,6.990476190476202
97,-1.0264255,-11.2801,372,Системный анализ,Big Data,1.8317460317460308
98,6.320934,5.102391,1204,Airflow,Big Data,1.6730158730158884
99,6.220216,4.371672,570,Greenplum,Big Data,1.4349206349206396
100,6.81362,5.1420503,58,SCALA,Big Data,1.4349206349206396
101,5.2134013,3.6802735,332,Hive,Big Data,1.27619047619048
102,-1.4826111,-7.1654654,327,Управление проектами,Big Data,1.11746031746032
103,4.7050066,4.509605,168,Java,Big Data,1.11746031746032
104,4.4340215,3.9726477,33,CI/CD,Big Data,0.9587301587301601
105,-0.6892028,-8.165995,68,Agile,Big Data,0.8793650793650889
106,-0.74556667,-10.336549,218,UML,Big Data,0.8
0,-0.27995145,0.33105192,56,SQL,Аналитик,13.14615384615385
1,0.49287003,2.2186174,121,Python,Аналитик,7.584615384615373
2,-3.7313209,-0.9468082,64,Анализ данных,Аналитик,10.90769230769229
3,-3.823472,-3.90475,25,Аналитическое мышление,Аналитик,15.8
5,-2.591624,0.5862852,369,Математическая статистика,Аналитик,4.261538461538457
6,-2.079449,-2.4703698,126,Английский,Аналитик,11.876923076923076
7,-3.9055548,-1.0985427,383,Power BI,Аналитик,4.930769230769222
8,-2.9868126,-0.60808223,610,Tableau,Аналитик,1.0076923076923252
9,-5.387863,-2.9758737,261,Аналитические исследования,Аналитик,2.4384615384615493
11,1.1017374,-0.1416393,320,MS SQL,Аналитик,2.9923076923076826
12,-7.5794425,-4.225765,13,Анализ рынка,Аналитик,8.830769230769238
13,3.0575085,0.6150347,212,Базы данных,Аналитик,2.8076923076923235
17,-2.0766637,-1.0569959,10,BI,Аналитик,1.492307692307703
18,-6.087409,-4.332273,178,Конкурентная аналитика,Аналитик,0.9846153846153876
19,-1.6842419,-1.3318003,219,Работа с большим объемом информации,Аналитик,6.707692307692311
20,-5.7332935,-3.3636837,156,MS Excel,Аналитик,8.66923076923076
22,0.47494343,-7.813692,21,Бизнес-анализ,Аналитик,2.969230769230774
23,-2.36003,1.15094,368,Математический анализ,Аналитик,1.0076923076923252
25,-0.21479714,-0.62863535,256,Работа с базами данных,Аналитик,1.7461538461538466
31,-3.5139441,-4.5172524,1271,Сбор и анализ информации,Аналитик,1.4461538461538561
36,0.022825412,-7.476038,215,Моделирование бизнес процессов,Аналитик,4.07692307692307
37,-5.8910403,-4.0552278,78,MS PowerPoint,Аналитик,4.676923076923079
40,-7.303532,-3.4692068,9,Маркетинговые исследования,Аналитик,1.815384615384631
41,-2.5681465,-5.343591,2124,Работа в команде,Аналитик,1.4230769230769185
42,-2.2191935,-6.644993,17,Деловая коммуникация,Аналитик,2.553846153846152
43,-4.583647,-4.37092,95,Грамотная речь,Аналитик,2.207692307692315
44,-4.3639293,-4.647948,26,Работа в условиях многозадачности,Аналитик,2.0923076923076835
51,-3.3621626,-6.481471,44,1С: Предприятие 8,Аналитик,6.984615384615392
58,-5.2600284,-4.008269,130,Пользователь ПК,Аналитик,1.3538461538461624
97,-1.0264255,-11.2801,372,Системный анализ,Аналитик,0.8923076923076939
107,-8.090208,-4.640998,80,Финансовый анализ,Аналитик,3.130769230769223
108,-1.1704849,-8.914059,60,Разработка технических заданий,Аналитик,1.515384615384612
109,-5.5525413,-4.6598454,1152,Подготовка презентаций,Аналитик,1.4230769230769185
110,-6.839616,-3.8660347,124,Прогнозирование,Аналитик,1.3538461538461624
111,-7.6424813,-4.8900766,517,Бюджетирование,Аналитик,0.9846153846153876
112,-0.009255359,-9.469028,150,BPMN,Аналитик,0.8461538461538471
113,-6.187097,-3.0465417,157,Сводные таблицы,Аналитик,0.8
0,-0.27995145,0.33105192,56,SQL,Системный аналитик,15.8
1,0.49287003,2.2186174,121,Python,Системный аналитик,1.184615384615392
2,-3.7313209,-0.9468082,64,Анализ данных,Системный аналитик,1.4410256410256466
3,-3.823472,-3.90475,25,Аналитическое мышление,Системный аналитик,6.184615384615384
6,-2.079449,-2.4703698,126,Английский,Системный аналитик,4.389743589743603
11,1.1017374,-0.1416393,320,MS SQL,Системный аналитик,2.0820512820512924
13,3.0575085,0.6150347,212,Базы данных,Системный аналитик,3.684615384615398
14,5.9207144,4.0723763,387,ETL,Системный аналитик,1.4410256410256466
19,-1.6842419,-1.3318003,219,Работа с большим объемом информации,Системный аналитик,1.3769230769230878
22,0.47494343,-7.813692,21,Бизнес-анализ,Системный аналитик,4.453846153846161
24,3.5835059,1.4623383,140,PostgreSQL,Системный аналитик,1.8256410256410385
36,0.022825412,-7.476038,215,Моделирование бизнес процессов,Системный аналитик,3.7487179487179567
41,-2.5681465,-5.343591,2124,Работа в команде,Системный аналитик,0.9282051282051376
42,-2.2191935,-6.644993,17,Деловая коммуникация,Системный аналитик,0.8641025641025586
49,3.3965197,0.9692851,608,ORACLE,Системный аналитик,0.8
51,-3.3621626,-6.481471,44,1С: Предприятие 8,Системный аналитик,2.8512820512820563
57,5.57609,4.729354,62,Kafka,Системный аналитик,0.8641025641025586
96,5.9233346,3.3867192,354,DWH,Системный аналитик,1.3128205128205088
97,-1.0264255,-11.2801,372,Системный анализ,Системный аналитик,12.402564102564112
102,-1.4826111,-7.1654654,327,Управление проектами,Системный аналитик,0.8641025641025586
105,-0.6892028,-8.165995,68,Agile,Системный аналитик,1.6333333333333424
106,-0.74556667,-10.336549,218,UML,Системный аналитик,10.543589743589752
108,-1.1704849,-8.914059,60,Разработка технических заданий,Системный аналитик,6.761538461538473
112,-0.009255359,-9.469028,150,BPMN,Системный аналитик,11.953846153846161
114,-1.0876468,-11.669692,201,REST,Системный аналитик,6.889743589743589
115,-0.799961,-11.773289,840,XML,Системный аналитик,4.197435897435907
116,-0.94988155,-11.955653,1922,SOAP,Системный аналитик,3.812820512820516
117,-1.2098359,-9.677991,137,Постановка задач разработчикам,Системный аналитик,3.812820512820516
118,-0.7382677,-11.775059,36,JSON API,Системный аналитик,3.620512820512819
119,-0.90889573,-9.25082,1041,Atlassian Jira,Системный аналитик,3.2358974358974484
120,-1.2886292,-10.929117,498,API,Системный аналитик,2.530769230769243
121,-0.40799227,-9.264022,1806,Atlassian Confluence,Системный аналитик,2.274358974358968
122,-1.6165289,-7.9245725,478,Системное мышление,Системный аналитик,1.9538461538461551
123,-1.5293014,-8.460382,12,Техническая документация,Системный аналитик,1.5692307692307634
124,0.53398865,-8.25813,341,MS Visio,Системный аналитик,1.505128205128205
125,-0.6518135,-8.524613,311,ERP,Системный аналитик,1.0564102564102544
126,0.21222292,-8.581153,875,IDEF,Системный аналитик,0.8641025641025586
0,-0.27995145,0.33105192,56,SQL,Аналитик BI,15.8
1,0.49287003,2.2186174,121,Python,Аналитик BI,4.371428571428576
2,-3.7313209,-0.9468082,64,Анализ данных,Аналитик BI,7.2285714285714295
3,-3.823472,-3.90475,25,Аналитическое мышление,Аналитик BI,10.44285714285715
5,-2.591624,0.5862852,369,Математическая статистика,Аналитик BI,2.5857142857142885
6,-2.079449,-2.4703698,126,Английский,Аналитик BI,8.300000000000008
7,-3.9055548,-1.0985427,383,Power BI,Аналитик BI,9.01428571428572
8,-2.9868126,-0.60808223,610,Tableau,Аналитик BI,5.799999999999995
9,-5.387863,-2.9758737,261,Аналитические исследования,Аналитик BI,1.1571428571428548
11,1.1017374,-0.1416393,320,MS SQL,Аналитик BI,2.228571428571434
12,-7.5794425,-4.225765,13,Анализ рынка,Аналитик BI,1.5142857142857093
13,3.0575085,0.6150347,212,Базы данных,Аналитик BI,4.371428571428576
17,-2.0766637,-1.0569959,10,BI,Аналитик BI,8.657142857142864
19,-1.6842419,-1.3318003,219,Работа с большим объемом информации,Аналитик BI,4.371428571428576
20,-5.7332935,-3.3636837,156,MS Excel,Аналитик BI,2.942857142857143
21,4.528848,3.313038,265,ClickHouse,Аналитик BI,0.8
22,0.47494343,-7.813692,21,Бизнес-анализ,Аналитик BI,1.8714285714285643
24,3.5835059,1.4623383,140,PostgreSQL,Аналитик BI,1.1571428571428548
30,-3.939892,0.09225067,1230,Визуализация данных,Аналитик BI,1.8714285714285643
37,-5.8910403,-4.0552278,78,MS PowerPoint,Аналитик BI,2.5857142857142885
42,-2.2191935,-6.644993,17,Деловая коммуникация,Аналитик BI,1.1571428571428548
44,-4.3639293,-4.647948,26,Работа в условиях многозадачности,Аналитик BI,1.1571428571428548
