,x,y,skill_id,Навык,Профессия,size
0,0.16532172,-0.6075057,264,SQL,Инженер данных,15.8
1,2.1833224,-2.352767,1256,Python,Инженер данных,12.841284403669723
2,0.094283015,-0.54736066,1027,Английский,Инженер данных,12.08440366972475
3,-4.54339,2.913837,1226,Java,Инженер данных,4.3091743119266095
4,0.33945632,-0.7461668,981,PostgreSQL,Инженер данных,4.102752293577969
5,1.7938173,-2.1244779,370,Linux,Инженер данных,3.8275229357798155
6,-0.44718385,-0.09989304,855,ETL,Инженер данных,3.758715596330277
7,3.0625196,-3.1876845,420,Big Data,Инженер данных,3.758715596330277
8,-2.222593,1.2773066,765,Аналитическое мышление,Инженер данных,3.208256880733945
9,4.9594874,-4.9902115,361,Git,Инженер данных,3.208256880733945
10,-1.3339573,0.59985125,1203,Анализ данных,Инженер данных,3.1394495412844066
11,4.694359,-4.7497563,1396,Hadoop,Инженер данных,3.001834862385304
12,-0.4842512,-0.072424114,818,Управление проектами,Инженер данных,2.726605504587151
13,4.636322,-4.701126,108,Spark,Инженер данных,2.5201834862385355
14,1.7333541,-2.0874724,52,Data Analysis,Инженер данных,2.244954128440357
15,1.6360979,-1.7787865,1421,Kafka,Инженер данных,2.176146788990818
16,-3.1246567,1.9873687,3,DWH,Инженер данных,2.038532110091742
17,-1.1249257,0.43828282,91,MS SQL,Инженер данных,1.6944954128440242
18,-2.440684,1.4450036,614,MS PowerPoint,Инженер данных,1.6944954128440242
19,-0.3656935,-0.16698782,792,Atlassian Jira,Инженер данных,1.5568807339449475
20,-1.1851661,0.48433045,1779,Базы данных,Инженер данных,1.5568807339449475
21,0.53182346,-0.9091466,1506,xa0— B2 — Средне-продвинутый,Инженер данных,1.5568807339449475
22,5.973586,-6.024061,261,Docker,Инженер данных,1.5568807339449475
23,2.419686,-2.57323,946,xa0— C1 — Продвинутый,Инженер данных,1.4880733944954092
24,-3.0109427,1.8459941,1715,xa0— B1 — Средний,Инженер данных,1.4880733944954092
25,3.7108743,-3.7805321,1422,Spring Framework,Инженер данных,1.419266055045871
26,3.423924,-3.5210462,200,SCALA,Инженер данных,1.419266055045871
27,-8.490124,5.4756527,825,Google Analytics,Инженер данных,1.3504587155963323
28,-1.7028666,0.88395375,730,Power BI,Инженер данных,1.3504587155963323
29,-8.239729,5.4329653,1547,ORACLE,Инженер данных,1.2128440366972557
30,1.3725439,-1.6133605,559,ClickHouse,Инженер данных,1.2128440366972557
31,2.0593646,-2.171576,1114,Математическая статистика,Инженер данных,1.2128440366972557
32,-8.699026,6.1284313,728,Tableau,Инженер данных,1.1440366972476919
33,-0.8101426,0.19028096,1287,Деловая коммуникация,Инженер данных,1.1440366972476919
34,-5.8091893,3.7990162,593,Работа в команде,Инженер данных,1.0752293577981535
35,1.8322902,-1.860844,1316,MySQL,Инженер данных,1.0752293577981535
36,2.9934363,-3.1208444,990,Pandas,Инженер данных,1.0752293577981535
37,6.752588,-6.220646,1388,Kubernetes,Инженер данных,1.006422018348615
38,-8.369351,5.7049913,1337,Яндекс.Метрика,Инженер данных,1.006422018348615
39,-2.8622818,1.7402486,9,Бизнес-анализ,Инженер данных,1.006422018348615
40,-5.891956,3.8563833,1038,BPMN,Инженер данных,1.006422018348615
41,-5.4100194,3.5241976,1145,UML,Инженер данных,1.006422018348615
42,1.4875612,-1.7567836,801,Agile Project Management,Инженер данных,0.9376146788990767
43,-0.7544379,0.15199715,1325,CRM,Инженер данных,0.9376146788990767
44,2.0889962,-2.234332,951,JavaScript,Инженер данных,0.8688073394495384
45,1.0225683,-1.3321614,21,Airflow,Инженер данных,0.8688073394495384
46,-6.242762,4.0914526,1276,MS Excel,Инженер данных,0.8688073394495384
47,-3.5357668,2.1676173,1721,Ведение переговоров,Инженер данных,0.8
48,-5.630342,3.6728287,1471,Системный анализ,Инженер данных,0.8
49,-2.1715353,1.239048,106,Аналитические исследования,Инженер данных,0.8
0,0.16532172,-0.6075057,264,SQL,Аналитик,9.847619047619062
1,2.1833224,-2.352767,1256,Python,Аналитик,1.5142857142857233
2,0.094283015,-0.54736066,1027,Английский,Аналитик,8.538095238095249
8,-2.222593,1.2773066,765,Аналитическое мышление,Аналитик,15.8
10,-1.3339573,0.59985125,1203,Анализ данных,Аналитик,9.4904761904762
12,-0.4842512,-0.072424114,818,Управление проектами,Аналитик,2.347619047619041
17,-1.1249257,0.43828282,91,MS SQL,Аналитик,1.3952380952380898
18,-2.440684,1.4450036,614,MS PowerPoint,Аналитик,13.06190476190478
20,-1.1851661,0.48433045,1779,Базы данных,Аналитик,0.9190476190476335
28,-1.7028666,0.88395375,730,Power BI,Аналитик,3.0619047619047652
33,-0.8101426,0.19028096,1287,Деловая коммуникация,Аналитик,1.1571428571428617
34,-5.8091893,3.7990162,593,Работа в команде,Аналитик,3.895238095238083
39,-2.8622818,1.7402486,9,Бизнес-анализ,Аналитик,6.157142857142848
40,-5.891956,3.8563833,1038,BPMN,Аналитик,4.72857142857144
41,-5.4100194,3.5241976,1145,UML,Аналитик,2.466666666666675
46,-6.242762,4.0914526,1276,MS Excel,Аналитик,5.085714285714302
48,-5.630342,3.6728287,1471,Системный анализ,Аналитик,2.5857142857143085
49,-2.1715353,1.239048,106,Аналитические исследования,Аналитик,3.4190476190476264
50,-3.539566,2.170784,1760,Работа с большим объемом информации,Аналитик,9.966666666666654
51,-5.758398,3.7605832,1481,Аналитика,Аналитик,4.014285714285717
52,-9.124042,6.482098,629,Анализ рынка,Аналитик,4.014285714285717
53,-9.287727,6.5312467,191,Excel,Аналитик,3.895238095238083
54,-6.0380135,3.954388,332,Разработка технических заданий,Аналитик,3.7761904761904885
55,-8.970158,6.3317657,1429,Моделирование бизнес процессов,Аналитик,3.180952380952399
56,-8.453781,5.896359,870,Грамотная речь,Аналитик,2.9428571428571315
57,-9.490203,5.7451005,217,Подготовка презентаций,Аналитик,2.9428571428571315
58,-8.940804,6.2990594,1263,Прогнозирование,Аналитик,2.823809523809537
59,-9.337277,5.6948314,1782,MS Visio,Аналитик,2.823809523809537
60,-9.678502,6.5669317,659,Сбор и анализ информации,Аналитик,2.704761904761904
61,-9.300773,6.5358105,410,MS Access,Аналитик,2.1095238095238136
62,-5.736008,3.7448387,1788,Работа с базами данных,Аналитик,2.1095238095238136
63,-9.079956,5.5430546,1310,Маркетинговые исследования,Аналитик,1.99047619047618
64,-8.875307,6.2414684,315,Финансовый анализ,Аналитик,1.99047619047618
65,-9.576436,5.786712,1667,Анализ текущих финансовых показателей,Аналитик,1.6333333333333568
66,-5.3213177,3.4658406,1561,Постановка задач разработчикам,Аналитик,1.5142857142857233
67,-0.09697738,-0.38830024,613,Статистический анализ,Аналитик,1.5142857142857233
68,-4.87156,3.1568434,1681,Грамотность,Аналитик,1.3952380952380898
69,-8.988202,5.5072017,135,SWOT анализ,Аналитик,1.3952380952380898
