,x,y,skill_id,Навык,Профессия,size
0,-7.695558,2.9963615,264,SQL,Инженер данных,15.8
1,-7.8074884,2.5073683,1256,Python,Инженер данных,12.841284403669723
2,-7.6113486,3.2613006,1027,Английский,Инженер данных,12.08440366972475
3,-3.1595454,-6.042777,1226,Java,Инженер данных,4.3091743119266095
4,-2.8425293,-6.6996055,981,PostgreSQL,Инженер данных,4.102752293577969
5,-2.0199628,-8.1698475,370,Linux,Инженер данных,3.8275229357798155
6,-3.3277276,-5.8344517,855,ETL,Инженер данных,3.758715596330277
7,-1.5443013,-8.328124,420,Big Data,Инженер данных,3.758715596330277
8,-6.9781218,5.130034,765,Аналитическое мышление,Инженер данных,3.208256880733945
9,-0.83142364,-9.192811,361,Git,Инженер данных,3.208256880733945
10,-6.9436493,5.0228667,1203,Анализ данных,Инженер данных,3.1394495412844066
11,-1.6428684,-7.3280587,1396,Hadoop,Инженер данных,3.001834862385304
12,6.1073723,-1.1102034,818,Управление проектами,Инженер данных,2.726605504587151
13,-1.1648185,-7.594557,108,Spark,Инженер данных,2.5201834862385355
14,-1.1097302,-7.300782,52,Data Analysis,Инженер данных,2.244954128440357
15,3.6745107,-2.533833,1421,Kafka,Инженер данных,2.176146788990818
16,3.745036,-0.7296156,3,DWH,Инженер данных,2.038532110091742
17,-4.337147,4.4209967,91,MS SQL,Инженер данных,1.6944954128440242
18,-6.8483853,5.2943616,614,MS PowerPoint,Инженер данных,1.6944954128440242
19,-1.279132,2.8153791,792,Atlassian Jira,Инженер данных,1.5568807339449475
20,-1.909508,3.3287733,1779,Базы данных,Инженер данных,1.5568807339449475
21,5.509714,-2.014429,1506,xa0— B2 — Средне-продвинутый,Инженер данных,1.5568807339449475
22,0.12361719,-7.614721,261,Docker,Инженер данных,1.5568807339449475
23,3.369199,-5.7115955,946,xa0— C1 — Продвинутый,Инженер данных,1.4880733944954092
24,-0.86590225,2.1136467,1715,xa0— B1 — Средний,Инженер данных,1.4880733944954092
25,3.095288,-1.2357107,1422,Spring Framework,Инженер данных,1.419266055045871
26,3.1056688,-1.431506,200,SCALA,Инженер данных,1.419266055045871
27,-3.0956552,2.7973514,825,Google Analytics,Инженер данных,1.3504587155963323
28,-5.0741224,4.412216,730,Power BI,Инженер данных,1.3504587155963323
29,3.2394547,-0.17849983,1547,ORACLE,Инженер данных,1.2128440366972557
30,3.0163813,-3.206279,559,ClickHouse,Инженер данных,1.2128440366972557
31,0.5732938,-8.962744,1114,Математическая статистика,Инженер данных,1.2128440366972557
32,-3.8930943,3.622749,728,Tableau,Инженер данных,1.1440366972476919
33,-0.64264876,2.9529414,1287,Деловая коммуникация,Инженер данных,1.1440366972476919
34,-4.1452823,7.012198,593,Работа в команде,Инженер данных,1.0752293577981535
35,3.9750843,-4.3565774,1316,MySQL,Инженер данных,1.0752293577981535
36,0.760721,-9.209577,990,Pandas,Инженер данных,1.0752293577981535
37,2.47892,-1.8981365,1388,Kubernetes,Инженер данных,1.006422018348615
38,-2.98735,2.6150203,1337,Яндекс.Метрика,Инженер данных,1.006422018348615
39,-5.3561125,6.6236844,9,Бизнес-анализ,Инженер данных,1.006422018348615
40,-4.329595,7.671324,1038,BPMN,Инженер данных,1.006422018348615
41,-2.3631468,6.944506,1145,UML,Инженер данных,1.006422018348615
