skill_name,skill_id,salary_q25,salary_q50,salary_q75,frequency,popular_profession_id,popular_profession_name,Аналитик,Аналитик BI,Big Data,NLP,Data Scientist,Администратор баз данных,Продуктовый аналитик,Инженер данных,Аналитик данных,Computer Vision,Системный аналитик,ML инженер,Бизнес-аналитик
1С: Предприятие 8,0,60000.0,87000.0,130500.0,0.0625354241450973,12,Бизнес-аналитик,0.026923076923076925,0.0024271844660194173,0.0,0.0,0.0024449877750611247,0.023005032350826744,0.0,0.00023702299123014932,0.0038159847360610556,0.0,0.015554115359688918,0.0,0.04319689370651998
Предпродажи,1,,,,0.0001889287738522577,7,Инженер данных,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023702299123014932,0.0,0.0,0.0,0.0,0.0
Ведение отчетности,2,40000.0,50000.0,60000.0,0.005856791989419989,0,Аналитик,0.00220949263502455,0.0,0.0,0.0,0.0,0.0007189072609633358,0.0,0.0,0.0006359974560101759,0.0,0.0,0.0,0.0
ЦФА,3,,,,0.0001889287738522577,0,Аналитик,8.183306055646482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ПВР,4,,,,0.0007557150954090308,4,Data Scientist,0.0,0.0,0.0,0.0,0.0012224938875305623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Start-up project,5,,,,0.0001889287738522577,4,Data Scientist,0.0,0.0,0.0,0.0,0.0003056234718826406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Витрины данных,6,,,,0.0035896467031928964,6,Продуктовый аналитик,0.0006546644844517185,0.0,0.0,0.0,0.0,0.0,0.004261363636363636,0.0009480919649205973,0.00105999576001696,0.0,0.0,0.0008421052631578948,0.0
Проверка гипотез,7,,,,0.0003778575477045154,12,Бизнес-аналитик,8.183306055646482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016178611875101117
Airflow,8,100000.0,200000.0,250000.0,0.028528244851690913,7,Инженер данных,0.0005728314238952536,0.0,0.012534818941504178,0.0,0.00519559902200489,0.0,0.0014204545454545455,0.024887414079165678,0.002331990672037312,0.0,0.0009721322099805574,0.0046315789473684215,0.0
писать понятный код,9,,,,0.0001889287738522577,2,Big Data,0.0,0.0,0.00046425255338904364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data-marts,10,,,,0.0001889287738522577,2,Big Data,8.183306055646482e-05,0.0,0.00046425255338904364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YOLO,11,,,,0.0003778575477045154,9,Computer Vision,0.0,0.0,0.0,0.0028653295128939827,0.0,0.0,0.0,0.0,0.0,0.003703703703703704,0.0,0.0008421052631578948,0.0
babook,12,,,,0.0001889287738522577,12,Бизнес-аналитик,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016178611875101117
